기준일ID,시간대구분,행정동코드,총생활인구수
20190112,13,11440710,23034.3255
20190112,14,11440660,120539.2102
20190112,14,11440710,24065.0865
20190112,15,11440660,129717.5846
20190112,15,11440710,24390.6655
20190112,16,11440660,136629.4721
20190112,16,11440710,24985.2747
20190112,17,11440660,141609.8623
20190112,17,11440710,25998.1759
20190112,18,11440660,143823.1357
20190112,18,11440710,26965.1821
20190112,19,11440660,142913.5105
20190112,19,11440710,27702.6478
20190112,20,11440660,135319.363
20190112,20,11440710,27632.1056
20190112,21,11440660,123559.9985
20190112,21,11440710,26961.9442
20190112,22,11440660,104529.8538
20190112,22,11440710,26056.2529
20190112,23,11440660,76680.074
20190112,23,11440710,27983.1756
20190113,0,11440660,72841.594
20190113,0,11440710,27168.5853
20190113,1,11440660,68625.7499
20190113,1,11440710,26596.2102
20190113,2,11440660,64455.0249
20190113,2,11440710,26380.8276
20190113,3,11440660,61181.0943
20190113,3,11440710,26373.8043
20190113,4,11440660,58520.6605
20190113,4,11440710,26256.8213
20190113,5,11440660,55632.0623
20190113,5,11440710,26259.0087
20190113,6,11440660,52608.9147
20190113,6,11440710,25860.3361
20190113,7,11440660,51602.891
20190113,7,11440710,25571.1926
20190113,8,11440660,53575.7305
20190113,8,11440710,25177.7895
20190113,9,11440660,58225.9326
20190113,9,11440710,24240.2817
20190113,10,11440660,65974.4499
20190113,10,11440710,23414.654
20190113,11,11440660,74313.7342
20190113,11,11440710,23062.3214
20190113,12,11440660,85615.8801
20190113,12,11440710,23326.1766
20190113,13,11440660,96716.9221
20190113,13,11440710,23728.878
20190113,14,11440660,104076.3958
20190113,14,11440710,24226.3025
20190113,15,11440660,109256.2018
20190113,15,11440710,24269.1933
20190113,16,11440660,112894.6111
20190113,16,11440710,24599.1592
20190113,17,11440660,114254.4136
20190113,17,11440710,24745.0129
20190113,18,11440660,112636.2262
20190113,18,11440710,25063.0409
20190113,19,11440660,106983.0413
20190113,19,11440710,25153.8634
20190113,20,11440660,97695.4018
20190113,20,11440710,24955.0478
20190113,21,11440660,85868.8843
20190113,21,11440710,24662.62
20190113,22,11440660,72105.8118
20190113,22,11440710,24379.3225
20190113,23,11440660,53054.3091
20190113,23,11440710,26488.1663
20190114,0,11440660,49799.0601
20190114,0,11440710,26201.4876
20190114,1,11440660,47880.1266
20190114,1,11440710,25984.5305
20190114,2,11440660,46718.1223
20190114,2,11440710,25962.9516
20190114,3,11440660,45889.7199
20190114,3,11440710,25940.0549
20190114,4,11440660,45414.1242
20190114,4,11440710,25815.4928
20190114,5,11440660,45858.7637
20190114,5,11440710,25479.7911
20190114,6,11440660,46658.4704
20190114,6,11440710,25209.8192
20190114,7,11440660,51450.1239
20190114,7,11440710,23716.3391
20190114,8,11440660,62447.5168
20190114,8,11440710,21906.0551
20190114,9,11440660,73703.4778
20190114,9,11440710,21187.2361
20190114,10,11440660,80080.5722
20190114,10,11440710,20871.1286
20190114,11,11440660,86766.6661
20190114,11,11440710,20303.0775
20190114,12,11440660,93122.5098
20190114,12,11440710,20541.3624
20190114,13,11440660,98822.1307
20190114,13,11440710,20518.7598
20190114,14,11440660,102543.0462
20190114,14,11440710,20586.4605
20190114,15,11440660,104803.2203
20190114,15,11440710,20858.6417
20190114,16,11440660,107754.7696
20190114,16,11440710,20896.2767
20190114,17,11440660,109111.6063
20190114,17,11440710,21349.4452
20190114,18,11440660,108835.6964
20190114,18,11440710,22043.805
20190114,19,11440660,106098.6268
20190114,19,11440710,23180.615
20190114,20,11440660,98685.831
20190114,20,11440710,23834.8863
20190114,21,11440660,89451.25
20190114,21,11440710,23563.3299
20190114,22,11440660,75496.4935
20190114,22,11440710,23176.7299
20190114,23,11440660,54927.3851
20190114,23,11440710,25524.5978
20190115,0,11440660,50582.4388
20190115,0,11440710,25433.4783
20190115,1,11440660,48113.0234
20190115,1,11440710,26115.7063
20190115,2,11440660,46743.2411
20190115,2,11440710,26020.2895
20190115,3,11440660,45660.5236
20190115,3,11440710,26655.6263
20190115,4,11440660,45138.224
20190115,4,11440710,25753.475
20190115,5,11440660,45583.6933
20190115,5,11440710,25155.4513
20190115,6,11440660,46898.641
20190115,6,11440710,24673.4962
20190115,7,11440660,51533.4835
20190115,7,11440710,23577.5849
20190115,8,11440660,62155.2916
20190115,8,11440710,21304.4431
20190115,9,11440660,72493.8346
20190115,9,11440710,20443.4574
20190115,10,11440660,78626.9211
20190115,10,11440710,20024.7087
20190115,11,11440660,85162.48
20190115,11,11440710,19380.8641
20190115,12,11440660,92467.4869
20190115,12,11440710,20028.7388
20190115,13,11440660,98593.3197
20190115,13,11440710,19804.3399
20190115,14,11440660,103214.9569
20190115,14,11440710,19778.9761
20190115,15,11440660,105287.4738
20190115,15,11440710,20124.4386
20190115,16,11440660,106821.2871
20190115,16,11440710,20770.1559
20190115,17,11440660,108214.4882
20190115,17,11440710,21136.6847
20190115,18,11440660,109985.4959
20190115,18,11440710,21859.3097
20190115,19,11440660,107795.2596
20190115,19,11440710,23074.3956
20190115,20,11440660,101106.7642
20190115,20,11440710,23380.3404
20190115,21,11440660,91067.4178
20190115,21,11440710,23041.2889
20190115,22,11440660,75748.7558
20190115,22,11440710,23507.5255
20190115,23,11440660,56126.4369
20190115,23,11440710,26154.1319
20190116,0,11440660,51339.2135
20190116,0,11440710,25835.3482
20190116,1,11440660,48234.444
20190116,1,11440710,25290.2647
20190116,2,11440660,46751.3012
20190116,2,11440710,25133.9616
20190116,3,11440660,45900.3612
20190116,3,11440710,25085.0897
20190116,4,11440660,45754.2344
20190116,4,11440710,24803.7148
20190116,5,11440660,46315.7158
20190116,5,11440710,24425.8418
20190116,6,11440660,47658.7442
20190116,6,11440710,24034.2412
20190116,7,11440660,52319.25
20190116,7,11440710,23050.4138
20190116,8,11440660,64099.2372
20190116,8,11440710,21037.9498
20190116,9,11440660,75598.2391
20190116,9,11440710,20405.2221
20190116,10,11440660,83258.1828
20190116,10,11440710,19981.6535
20190116,11,11440660,90307.8958
20190116,11,11440710,20436.9075
20190116,12,11440660,97742.2776
20190116,12,11440710,20647.1205
20190116,13,11440660,103213.2919
20190116,13,11440710,20461.0562
20190116,14,11440660,106914.5651
20190116,14,11440710,20118.4262
20190116,15,11440660,109501.1359
20190116,15,11440710,20900.2353
20190116,16,11440660,112736.374
20190116,16,11440710,21129.3874
20190116,17,11440660,114914.0966
20190116,17,11440710,21674.3043
20190116,18,11440660,118298.1669
20190116,18,11440710,22411.0444
20190116,19,11440660,116889.7135
20190116,19,11440710,23498.0399
20190116,20,11440660,109576.1898
20190116,20,11440710,24244.8933
20190116,21,11440660,97855.6629
20190116,21,11440710,24140.7868
20190116,22,11440660,81866.3715
20190116,22,11440710,23876.5873
20190116,23,11440660,56971.6988
20190116,23,11440710,26424.0777
20190117,0,11440660,52785.1585
20190117,0,11440710,25902.6167
20190117,1,11440660,50230.1376
20190117,1,11440710,25579.4136
20190117,2,11440660,49101.6128
20190117,2,11440710,25361.1169
20190117,3,11440660,47925.8534
20190117,3,11440710,25241.3213
20190117,4,11440660,47349.9004
20190117,4,11440710,24971.85
20190117,5,11440660,47892.3641
20190117,5,11440710,24650.6061
20190117,6,11440660,48845.4453
