기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20191,11440660,서교동,CS200024,스포츠클럽,176257476,483,162092628,14164848,23877484,26173530,67233216,14438977,30369421,14164848,0,0,35176551,19775295,54801417,32475743,34028470,63827628,83229847,0,86934662,43384035,11403034,2942290,2393454,434,49,128,76,108,24,98,49,0,0,126,61,55,120,121,234,205,0,250,126,38,11,14
20191,11440660,서교동,CS100007,치킨전문점,1509910394,52989,996742981,513167413,161489312,188678133,188255677,201910526,256409333,300923237,212244176,163870280,0,29068051,70923425,552460180,693588458,831190371,608293025,60201613,666548636,310359590,224066360,139933995,38373208,34344,18645,5880,6505,6292,6803,8864,10674,7971,4458,0,1315,4307,21505,21404,26966,24698,3056,26381,9325,6816,4929,1152
20191,11440660,서교동,CS300004,핸드폰,6844380052,93890,5968116185,876263867,958902629,1002612523,1488771764,1841575185,676254084,508683143,367580724,641088199,470951333,1490146118,2121156383,1628921476,492116543,2679947466,3944721895,6388633,2368672927,1187704062,1149921813,1529372411,382609516,79419,14471,17491,12512,20630,15019,13767,8198,6273,7492,9990,20009,28161,18818,9420,43792,48849,634,31748,20381,17727,15239,6912
20191,11440660,서교동,CS200001,일반교습학원,73769767,133,48751591,25018176,4751897,14077466,314153,9735814,19872261,12159838,12858338,0,9078483,5490968,10904827,34337848,13957641,27473815,46295952,116157,18829363,554274,17642800,31875276,4751897,83,50,5,24,16,11,27,41,9,0,34,14,18,54,13,44,88,10,40,3,24,50,5
20191,11440660,서교동,CS300036,조명용품,2055358267,56172,1729104318,326253949,280722236,265437457,436981610,359552599,386410416,326172524,81425,0,373845270,642300779,672878312,366333906,0,905759254,643496202,0,119903798,342282270,399960601,333199714,353909077,46871,9301,8762,7823,8767,10680,10839,9296,5,0,8587,14557,21438,11590,0,27563,17389,0,4793,12149,9256,9865,8887
20191,11440710,연남동,CS300018,의약품,111300727,14360,89523081,21777646,17456691,13966169,19625813,18448148,20026260,16130254,5647392,0,12051718,25140220,26097922,36123984,11886883,51973727,59327000,700194,31967695,24673427,14750871,20807651,18400889,11272,3088,2164,1879,2315,2328,2586,2258,830,0,1443,3212,3308,4887,1510,6191,8169,139,4953,3521,1769,2352,1626
20191,11440710,연남동,CS200008,한의원,179174434,10586,149624793,29549641,37548368,33036785,19837160,40370686,18831794,29549641,0,0,18591073,68257982,63680953,28644426,0,57177595,121996839,0,11208746,47643555,39499961,47609517,33212655,8843,1743,1759,1563,1602,2057,1862,1743,0,0,831,3321,3921,2513,0,4423,6163,0,655,2104,1876,2864,3087
20191,11440660,서교동,CS100008,분식전문점,4253533650,307176,2802836836,1450696814,458966042,528557826,569430274,578209460,667673234,826190671,624506143,310886927,64006035,783044334,754388053,1523682313,817525988,1722985008,2249984448,195395035,2040366877,797968255,545195136,336863231,57180925,205063,102113,34798,38690,41088,43088,47399,56715,45398,15275,5441,57257,64107,116448,48648,122854,177689,17767,153261,57084,41176,26679,4576
20191,11440660,서교동,CS100001,한식음식점,41161746954,1653802,27507489003,13654257951,4562806232,5051394059,5338888704,5733744657,6820655351,7948504259,5705753692,4398678255,784918457,6800980881,3766134787,15071679053,10339355521,20762630521,16254646472,811602727,15847707275,8780516956,5635032309,4089608250,1852809452,1143410,510392,195208,217274,223073,241172,266683,291671,218721,141627,48128,448373,230488,524512,260674,830898,745998,49738,719167,329848,222963,180907,74274
20191,11440660,서교동,CS100002,중식음식점,3809794841,139107,2583663077,1226131764,376531646,500261832,480332118,565253933,661283548,694843025,531288739,121372312,17285309,837972991,482624542,1697421392,653118295,1772162956,1444973176,51395759,1214362046,834087797,532678948,409387123,175224459,98189,40918,15996,18750,18915,21274,23254,23358,17560,3602,1141,42384,24890,52700,14390,62844,67096,3426,58518,29124,19328,13799,5745
