기준_년분기_코드,상권_코드_명,총_유동인구_수,MZ세대_유동인구_수,지역 구분
20193,장충동주민센터,846142,398728,외곽
20193,다산성곽길,546592,250192,외곽
20193,버티고개,710409,310234,외곽
20192,백학시장,1101663,442250,외곽
20192,서울중앙시장(신중앙시장),2133931,799978,외곽
20192,약수시장,298079,122906,외곽
20192,신당역,3197529,1368157,중심
20192,약수역,1470530,661622,중심
20192,청구역 3번,1152690,518358,중심
20192,청구역 1번,1166638,471927,중심
20192,장충초등학교,623656,272589,외곽
20192,약수역 7번,238769,96456,중심
20192,장충단 고개,1127217,526471,외곽
20192,장충동주민센터,854828,394364,외곽
20192,다산성곽길,455859,205135,외곽
20192,버티고개,760197,341460,외곽
20191,백학시장,1167595,466838,외곽
20191,서울중앙시장(신중앙시장),2133308,797415,외곽
20191,약수시장,311305,128800,외곽
20191,신당역,3281799,1401350,중심
20191,약수역,1504412,668303,중심
20191,청구역 3번,1240929,543368,중심
20191,청구역 1번,1191776,487418,중심
20191,장충초등학교,684287,294774,외곽
20191,약수역 7번,245184,99318,중심
20191,장충단 고개,1116723,521428,외곽
20191,장충동주민센터,823588,370446,외곽
20191,다산성곽길,438570,198004,외곽
20191,버티고개,775487,342808,외곽
