기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20201,11140635,약수동,CS300028,화초,8,8,0,0,13,1,0
20201,11140635,약수동,CS300029,애완동물,1,1,0,0,0,0,0
20201,11140635,약수동,CS300031,가구,5,5,0,0,0,0,0
20201,11140635,약수동,CS300032,가전제품,1,1,0,0,100,1,0
20201,11140635,약수동,CS300033,철물점,2,2,0,0,0,0,0
20201,11140635,약수동,CS300035,인테리어,6,6,0,0,0,0,0
20201,11140635,약수동,CS300036,조명용품,6,6,0,0,0,0,0
20201,11140635,약수동,CS300041,예술품,1,1,0,0,0,0,0
20201,11140635,약수동,CS300043,전자상거래업,43,43,23,10,0,0,0
20202,11140635,약수동,CS100001,한식음식점,64,68,3,2,3,2,4
