기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20214,11200620,금호4가동,2996012,1347655,1648357,452190,292037,560984,519135,431452,740214,759007,606739,340910,363268,532727,393359,421880,418952,419306,420293,423162,444272,448147
20221,11200590,금호1가동,4041581,1794592,2246988,694924,382699,744557,744214,557099,918087,1053328,833591,457640,470674,691330,535018,560347,564892,569243,565532,562415,604293,614859
20221,11200615,금호2?3가동,6738504,3066526,3671977,1220874,695149,1102570,1100100,1005627,1614185,1841781,1371234,738920,744372,1125149,917047,944416,947422,951549,942298,943823,998224,1010771
20221,11200620,금호4가동,3018820,1360152,1658668,451909,290576,567242,518057,438372,752665,758601,615347,350794,368489,532576,393014,421006,423773,424934,422878,425132,449898,451198
20222,11200590,금호1가동,3700931,1619648,2081283,629468,354891,666037,696347,503166,851022,985123,756739,396578,421784,641868,498838,523390,514649,517183,512754,512267,550835,569851
20222,11200615,금호2?3가동,6509677,2954763,3554913,1120173,672941,1074433,1076328,981083,1584720,1844349,1302296,665823,696918,1096085,904207,919225,905580,908784,904569,905632,968210,997677
20222,11200620,금호4가동,2888824,1298397,1590427,427203,285052,537268,501242,422685,715375,743755,586185,318815,344550,511209,384310,406386,402782,403115,403317,405441,432861,434921
20223,11200590,금호1가동,3692816,1620300,2072516,653394,353214,651480,688787,498858,847084,981224,762118,399527,419914,635445,494588,525490,517497,514460,514207,513215,545153,562796
20223,11200615,금호2?3가동,6382782,2897509,3485273,1116704,646123,1054096,1050187,969170,1546500,1809030,1280478,664560,688058,1060710,879949,906555,899511,890874,889883,892751,938626,964582
20223,11200620,금호4가동,2971387,1336409,1634980,454792,296562,553657,510769,430991,724616,778387,607704,329858,348099,511690,395648,414944,418089,419745,419689,422003,438776,438142
20224,11200590,금호1가동,3635564,1599913,2035650,660965,333956,639671,692427,494309,814236,967357,752640,390420,411750,628468,484929,514814,503270,506029,502542,508554,543093,557261
