기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20231,A,골목상권,3110648,양천향교역 7번,154832,83361,71471,8778,32314,44542,32005,21022,16171,30319,35153,23649,23703,24189,17820,23333,23787,23803,24468,23204,18621,17614
20231,A,골목상권,3110647,화곡역 5번,2399853,1104795,1295056,347170,348945,448536,375751,341719,537732,660425,480249,255619,254931,407241,341386,338052,336310,337730,337028,335951,352725,362058
20231,A,골목상권,3110645,우장산역 4번,1231148,530425,700726,381547,138023,140068,203599,162044,205869,330142,266048,146105,140506,191535,156814,179446,179959,179242,178348,177377,169121,167656
20231,A,골목상권,3110640,방화역 1번,571825,280546,291278,99111,58924,91770,95792,82150,144077,134605,116529,70327,72821,103972,73570,79834,79787,80123,79597,79720,84465,88300
20231,A,골목상권,3110639,신방화역 8번,640013,310644,329369,93385,79369,95776,90231,95379,185873,150964,127066,76047,77253,120521,88161,88251,88643,89017,88719,88389,94760,102235
20231,A,골목상권,3110638,신방화역 2번,2370496,1113438,1257059,422995,235344,402496,376501,334163,598997,617735,474945,276272,281674,403279,316592,336121,338080,339435,333217,333416,341457,348769
20231,A,골목상권,3110637,송정역 2번,182707,87566,95140,26074,23255,34190,28587,26178,44424,51509,37948,21837,21084,27772,22557,26163,26207,26114,26133,26024,25986,26082
20231,A,골목상권,3110636,방화역 2번,699293,331757,367536,113366,62446,114984,116803,108370,183325,156911,129210,91534,95066,135965,90608,102518,99257,100795,99047,99533,100230,97910
20231,A,골목상권,3110635,공항시장역 3번,259147,127550,131597,50298,26756,37194,37793,36340,70769,77127,54908,28112,26607,38964,33429,36502,36276,36594,36302,36309,37349,39818
20231,A,골목상권,3110634,송정역 3번,2083951,1062416,1021536,319001,285462,385603,316551,279692,497643,650168,435956,212169,205185,298917,281556,293517,294506,294472,292206,292471,305097,311680
20231,A,골목상권,3110633,개화산역 1번,51788,24700,27089,7308,4495,7849,8362,8673,15101,5418,8801,8676,10027,13379,5489,7036,6982,6999,6988,7112,8350,8321
20231,A,골목상권,3110632,방화역 3번,695307,329372,365935,100003,63741,104850,111489,115996,199228,114187,123247,106774,119116,150898,81086,101148,99782,100163,99544,100401,100667,93603
20231,A,골목상권,3110630,공항시장역 1번,1616875,785969,830906,186779,263332,297366,243280,225951,400168,450392,335207,193845,185141,248997,203293,226876,226917,229692,225516,227544,237414,242916
20231,A,골목상권,3110629,송정역 4번,149586,77248,72338,19797,23788,27118,23627,21324,33934,37677,32335,18729,17863,24569,18413,20925,20906,20944,20913,21017,22220,22659
20231,A,골목상권,3110628,신목동역,317998,158176,159822,67686,40914,59524,58831,38315,52727,107412,69322,29360,28892,41379,41632,44914,44890,45281,44665,44778,46205,47264
20231,A,골목상권,3110621,목동역 5번,170069,74545,95526,58051,15020,17717,31680,24488,23113,20476,27796,26706,33366,43404,18321,23548,23675,24540,24465,25439,26450,21954
20231,A,골목상권,3110617,등촌역 4번,525058,233402,291658,69034,69685,97287,85966,81352,121735,132943,101566,57337,59968,96504,76743,72835,72776,72883,72471,72342,78596,83156
20231,A,골목상권,3110613,신정네거리역 4번,216323,100646,115676,52491,23482,25083,40515,30696,44056,51710,43497,26602,27490,39768,27255,30229,30419,30531,30485,30898,32471,31290
20231,A,골목상권,3110612,신정역 5번,2055298,993608,1061691,360060,286002,322001,317449,302299,467487,646772,411918,203362,202615,301719,288914,292072,290500,288760,287573,291542,296452,308400
20231,A,골목상권,3110611,신정역 1번,1239457,593229,646227,206317,170709,199577,199964,178635,284256,346792,257009,129131,132373,202299,171850,176638,175183,175998,176658,175533,178264,181182
20231,A,골목상권,3110609,신정네거리역 2번,921965,424439,497525,172750,111719,124754,144289,127365,241086,282998,206615,99038,82812,124146,126356,133913,134052,133313,132333,132471,126352,129531
20231,A,골목상권,3110591,충정로역 6번,1218283,607808,610475,99961,169975,274619,272401,193185,208141,185478,282484,217934,223420,205626,103340,192084,193667,193089,198851,190665,127734,122195
20231,A,골목상권,3110589,애오개역 3번,145034,69582,75452,21871,19401,23784,24657,24660,30661,42400,29985,15461,14910,22695,19584,20383,20212,20614,20069,20348,21216,22194
20231,A,골목상권,3110584,아현역 4번,96543,43189,53353,17920,13576,16239,15430,14069,19308,24946,20310,11546,11588,15978,12171,13700,13658,13851,13848,13933,14072,13480
20231,A,골목상권,3110582,이대역 5번,541351,223807,317543,45622,178040,94678,74647,63041,85322,162475,116446,58478,55916,77992,70045,76486,76284,76161,75647,74348,80588,81836
20231,A,골목상권,3110579,마포역 4번,333045,161478,171566,37513,44364,70017,59562,50491,71099,93451,70336,38301,38260,50753,41944,47563,47823,48214,48270,47707,46391,47080
20231,A,골목상권,3110578,대흥역 2번,2585725,1202544,1383181,435520,376362,454242,514299,366534,438769,618518,513995,320184,324206,459564,349258,369805,373892,376073,374997,370460,362860,357638
20231,A,골목상권,3110576,대흥역 3번,1272747,609740,663009,259329,236676,195955,213347,158472,208970,212039,236864,183635,198594,281405,160210,182537,187786,186224,190157,187581,175607,162856
20231,A,골목상권,3110573,신촌역 6번,109213,50471,58742,11223,44415,19021,11617,10107,12830,23136,23048,16625,16058,18891,11457,15785,16380,16148,16396,16040,14837,13627
20231,A,골목상권,3110572,서강대역 1번,1843350,925371,917981,264620,549495,295438,260393,205196,268210,427595,376382,247185,248142,322450,221597,260911,268103,267312,270834,265710,258774,251707
20231,A,골목상권,3110568,광흥창역 1번,288660,131179,157481,51790,37359,46653,51286,39485,62087,76239,60398,35012,37449,46426,33137,41361,41637,41986,41557,41102,40630,40388
20231,A,골목상권,3110567,광흥창역 6번,285282,135772,149510,59066,37997,44050,53067,39573,51529,58991,59153,39698,40334,55328,31777,40054,39289,40414,39956,39859,42624,43087
20231,A,골목상권,3110564,홍대입구역 3번,997598,416893,580705,112013,376439,211539,132289,78900,86419,131279,145868,150203,186612,265661,117978,129900,133888,136330,136096,145073,170239,146071
20231,A,골목상권,3110563,상수역 3번,156604,72624,83982,15190,39549,36278,24839,16971,23777,30948,29989,20342,22541,32207,20577,21478,21707,21982,22174,22916,23648,22699
20231,A,골목상권,3110561,상수역 4번,732267,338745,393521,57385,193047,195169,104195,69281,113190,192170,144630,83965,86311,123226,101965,101226,102918,104078,104662,107796,107613,103973
20231,A,골목상권,3110554,망원역 1번,1034704,468042,566663,81542,228471,241307,195302,123854,164227,194939,207276,154741,160926,197035,119789,152060,153148,154303,156607,154104,136969,127512
20231,A,골목상권,3110553,가좌역 2번,1009604,465405,544198,180408,158469,155053,173122,146929,195624,298450,211942,107460,103810,153373,134570,143121,142122,142294,141629,140758,148965,150714
20231,A,골목상권,3110550,합정역 8번,1785235,781026,1004209,182639,361664,432179,307008,218473,283274,463767,351374,211207,216379,312687,229823,247859,249921,252862,253251,255424,265617,260301
20231,A,골목상권,3110548,마포구청역 4번,1216107,558701,657404,135287,206319,253672,227781,163626,229422,296507,252068,149462,150606,212301,155162,168318,173291,171883,170821,171470,178798,181527
20231,A,골목상권,3110545,마포구청역 1번,557392,229017,328375,46815,126805,127271,88373,66519,101611,169979,124874,56201,52263,77869,76206,78632,79223,79679,79227,79156,80169,81306
20231,A,골목상권,3110542,마포구청역 7번,1422742,657355,765387,168906,224934,265166,257725,206554,299457,398265,295546,154995,151925,228710,193301,201038,200081,200984,198223,202611,207641,212164
20231,A,골목상권,3110538,충정로역 3번,373653,180944,192709,25661,56554,85231,77113,59961,69133,68975,84449,59369,58863,63011,38988,56920,58083,58328,59044,57413,42752,41114
20231,A,골목상권,3110533,충정로역 7번,4977694,2476465,2501228,534089,746297,1140005,1152908,746320,658077,1083429,1171231,775915,777609,702825,466684,779086,798859,798282,823988,790210,506725,480542
20231,A,골목상권,3110532,아현역 2번,1076996,528419,548576,149402,147847,190621,201543,177301,210280,186334,233579,169930,175822,197037,114293,161856,161938,163086,166189,162299,131256,130370
20231,A,골목상권,3110530,아현역 1번,198747,89706,109041,38006,29390,33579,32140,29174,36458,60619,43042,20842,19538,28302,26406,28398,28388,28461,28237,28513,28689,28060
20231,A,골목상권,3110527,홍제역 2번,460094,198019,262075,66205,58530,71603,71378,75618,116761,127199,91927,50652,53416,75982,60918,64616,63300,63397,63104,63205,69787,72681
20231,A,골목상권,3110522,홍제역 3번,246467,110844,135623,26749,33251,34604,39263,44215,68386,61321,46210,26755,27277,44882,40024,35499,35668,35955,36101,36063,34212,32971
20231,A,골목상권,3110521,홍제역 4번,621546,269829,351716,79279,82752,80262,87561,101383,190308,151513,125617,76407,76775,109349,81884,88122,87931,87940,88647,89140,91195,88573
20231,A,골목상권,3110520,경의중앙 신촌역,589083,229924,359159,56999,280830,93017,53688,51159,53389,117563,113464,80752,84610,119937,72758,81051,83102,84162,83999,84209,87264,85298
20231,A,골목상권,3110498,증산역 1번,1910011,886790,1023221,222411,240837,287425,324001,295694,539643,502778,367464,210705,222081,339474,267508,267068,267708,270093,268062,270611,284225,282244
20231,A,골목상권,3110497,가좌역 3번,101102,46011,55091,21203,11324,15629,17889,14225,20828,13120,19168,16142,18498,23933,10240,13961,13820,13759,13860,14095,16181,15427
20231,A,골목상권,3110489,불광역 3번,428519,191629,236890,34154,70038,77381,65061,75003,106879,124525,93504,44833,45106,63200,57353,60907,60977,60930,61105,60588,61353,62657
20231,A,골목상권,3110487,불광역 8번,162161,69385,92777,15048,24594,23600,21982,26628,50310,24897,29266,24925,28214,36774,18086,22572,22715,22850,22670,23038,24645,23670
20231,A,골목상권,3110484,역촌역 3번,1676244,722350,953892,206734,222202,268452,233789,272199,472869,505380,350138,175073,168073,248641,228940,236411,234771,236089,233610,233630,246062,255671
20231,A,골목상권,3110481,불광역 7번,2952258,1313648,1638610,401707,440940,540769,471604,428987,668250,864582,616648,312210,311187,451724,395908,417254,421239,421803,418974,420336,425306,427346
20231,A,골목상권,3110480,연신내역 3번,340410,154598,185815,39958,52876,53875,45382,52559,95761,82732,67949,40854,42665,61321,44891,47661,47647,47755,47205,47835,50739,51570
20231,A,골목상권,3110479,연신내역 2번,1092305,508805,583500,156685,127795,145933,163569,171546,326777,317168,226826,117230,116142,169335,145605,153687,153033,152724,152677,150316,161901,167967
20231,A,골목상권,3110476,역촌역 2번,146255,70518,75736,15093,17238,22636,23935,28443,38911,28376,25690,17977,19644,31949,22617,20559,20415,20671,20383,20796,21721,21708
20231,A,골목상권,3110473,구산역 1번,1758314,760351,997963,281088,227963,273101,268116,259255,448788,493151,365286,194722,190310,284390,230454,248491,246803,247499,245270,245262,259683,265306
20231,A,골목상권,3110472,연신내역 4번,1605591,716250,889342,175425,307366,268540,222798,230453,401009,417965,317931,179014,182224,286033,222426,223858,223194,223129,223654,230753,243594,237410
20231,A,골목상권,3110468,응암역 3번,3340491,1452082,1888410,475802,460680,561119,566711,535945,740236,926329,665434,366559,377039,560093,445036,467684,464649,469681,462406,464829,508955,502285
20231,A,골목상권,3110466,구산역 2번,982101,435555,546548,145151,129044,151814,149357,155015,251723,312687,204727,98514,92991,139671,133513,138718,137447,138719,137363,136704,144097,149057
20231,A,골목상권,3110465,연신내역 7번,1468015,682263,785751,208830,257927,229496,217408,217688,336666,333049,277096,177605,191245,286556,202465,207077,208111,208564,210361,213881,214786,205233
20231,A,골목상권,3110464,연신내역 5번,477410,219070,258339,75647,85294,74004,74568,72454,95442,136073,90686,48345,48986,81773,71547,65741,66525,66760,67089,68555,71850,70889
20231,A,골목상권,3110461,새절역 2번,238654,109867,128788,25164,32701,36772,37971,38842,67202,36026,47050,34072,37032,53550,30923,33759,33935,34222,34062,35195,34313,33168
20231,A,골목상권,3110460,구산역 4번,1644617,726332,918284,246329,231785,227091,274505,249801,415104,470701,330114,173568,178656,269773,221805,229619,229494,230680,229754,231101,244139,249831
