기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20203,D,발달상권,3120186,가로수길,CS200001,일반교습학원,1850977023,4750,1435417301,415559722,286627415,292288543,253140901,382890077,220470365,309042892,106516830,0,106881550,212020433,618767133,733672132,179635775,721061414,1120213085,12366450,12019868,18475179,1406545705,299371009,92496288,3860,890,659,942,641,1146,472,621,269,0,117,411,1418,2419,385,1960,2779,41,27,78,3404,936,254
20203,D,발달상권,3120186,가로수길,CS300016,안경,1530631136,12135,1077916971,452714165,238194487,211527775,148388892,192836115,286969702,313637198,139076967,0,23973801,513731179,511962928,436652597,44310631,855824861,651778361,11359420,308926280,303359506,332355927,419874803,131727285,8407,3728,1586,1925,1436,1658,1802,2178,1550,0,256,2303,3519,5333,724,3386,8625,400,5374,2231,1804,1593,608
20203,D,발달상권,3120186,가로수길,CS300024,운동/경기용품,3302435335,8192,2581955115,720480220,485694158,610541210,548265995,454010681,483443071,648169950,72310270,0,31142065,828293491,1425303770,1017068285,627724,2114957727,768402361,0,555789960,586664370,726239387,738851598,275814774,6553,1639,1116,1530,1080,1151,1676,1464,175,0,175,2023,3239,2720,35,5301,2089,0,941,1290,2054,1778,1325
20203,D,발달상권,3120186,가로수길,CS300032,가전제품,85801725,531,74375045,11426680,9812041,8191756,22226700,17800556,16343992,11426680,0,0,22627538,17230351,36532632,9411204,0,54391214,12469545,0,9058397,12185796,12697325,18893366,14025876,485,46,89,68,141,102,85,46,0,0,119,141,203,68,0,376,70,0,57,104,140,87,59
20203,D,발달상권,3120186,가로수길,CS300014,신발,2841184796,15041,1741295505,1099889291,265497916,234069688,251209950,162759959,827757992,643667627,456221664,0,0,670568799,994482886,1176133111,0,1264410323,1412803271,44264514,833881422,541618975,829585840,231213479,196649367,9175,5866,2145,1224,1553,1340,2913,3133,2733,0,0,3416,4084,7541,0,7593,6585,283,5042,2909,3516,1318,1109
20203,D,발달상권,3120186,가로수길,CS300026,완구,240000000,1918,80020248,159979752,0,0,80000000,20248,0,80000000,79979752,0,0,0,150290518,89709482,0,20248,160000000,0,0,70270270,80020248,9729730,0,736,1182,0,0,533,203,0,1081,101,0,0,0,1276,642,0,202,1614,0,0,540,735,541,0
20203,D,발달상권,3120186,가로수길,CS300021,문구,18414514,1962,18351647,62867,2886037,4348960,1819390,2827983,6469277,62867,0,0,1579640,2264722,11636768,2933384,0,4566638,4211191,123004,869953,2177753,4269821,1108832,228467,1947,15,324,432,343,448,400,15,0,0,178,492,877,415,0,673,842,102,299,383,443,239,46
20203,D,발달상권,3120186,가로수길,CS100005,제과점,469420465,31368,307098514,162321951,56062643,59789271,62705793,59038102,69502705,91260858,71061093,0,14297768,105171852,147414349,184035101,18501395,130352968,304877252,7706386,182221444,114350377,62326231,50964845,17660938,20381,10987,3573,3812,4155,4009,4832,6113,4874,0,773,6361,9632,13140,1462,8861,21115,711,13552,7574,3895,3312,933
20203,D,발달상권,3120186,가로수길,CS200029,네일숍,298285546,3237,229322338,68963208,44048836,42046687,63609467,23398329,56219019,44027712,24935496,0,0,74569195,104358845,108447088,10910418,24107373,273149593,3821624,53493933,82399575,69160952,38447225,49933656,2263,974,478,389,547,346,503,626,348,0,0,574,1112,1465,86,239,2992,97,881,1041,710,396,106
20203,D,발달상권,3120186,가로수길,CS200037,노래방,72908050,5079,44043775,28864275,7087864,6060131,9570410,9740306,11585064,17422226,11442049,37507409,366693,482943,2550793,10058148,21942064,39692949,27153874,3459174,39431229,14435025,4713675,4195396,612324,3232,1847,598,483,663,695,793,1072,775,1492,22,115,428,1345,1677,2693,2349,511,3276,705,243,246,60
20203,D,발달상권,3120186,가로수길,CS300020,서적,233778394,1002,187944733,45833661,70220374,0,39419622,25322095,52982642,5745911,40087750,0,0,61401071,92402263,79975060,0,68750491,97747296,0,7215795,7082169,89195243,23584959,39419621,668,334,133,0,133,201,201,200,134,0,0,334,334,334,0,401,468,0,267,134,201,134,134
20203,D,발달상권,3120186,가로수길,CS100003,일식음식점,5434707828,130729,3794184138,1640523690,643057140,800060404,710466754,707245916,933353924,1015402084,625121606,585613891,93996,804040953,596698898,1751736431,1696523659,2620874031,2077759347,81350045,2080549201,1490899280,516867791,412274838,116692219,93219,37510,15705,19126,18737,17882,21769,20872,16638,6948,13,38063,21312,45259,19134,58942,62648,4075,58488,31813,13296,11256,2656
20203,D,발달상권,3120186,가로수길,CS200005,스포츠 강습,73860688,324,68195911,5664777,30091881,17448063,8496540,7622216,4537211,0,5664777,0,5863402,10876690,3069290,44176199,9875107,18790068,51734435,0,1291133,31750086,32863634,4619650,0,195,129,42,47,56,19,31,0,129,0,12,141,7,150,14,79,238,0,36,165,80,36,0
20203,D,발달상권,3120186,가로수길,CS200028,미용실,2092359143,28938,1339099009,753260134,192037947,238795306,277364082,272480835,358420839,384958643,368301491,0,12530290,423112736,747748396,845201642,63766079,801021873,1275454110,19656716,654088414,690617087,354421711,232940902,124751152,19139,9799,3161,3548,3597,3713,5120,5503,4296,0,433,6941,9287,11433,844,15178,13656,409,11833,8337,4149,2913,1193
20203,D,발달상권,3120186,가로수길,CS300004,핸드폰,1292284076,24194,405552907,886731169,39973557,30076391,48221196,19244491,268037272,108703883,778027286,0,10996852,131962225,827018262,322306737,0,182217839,326540526,2749213,60482686,66750892,239280505,46021826,93473243,18695,5499,3299,3850,4948,1100,5498,2750,2749,0,550,5499,8248,9897,0,9897,12097,550,6049,6048,3849,3850,1650
20203,D,발달상권,3120186,가로수길,CS300011,일반의류,33606671309,449117,22118743190,11487928119,3550218747,3376618423,4154763551,5531212767,5505929702,6300278414,5187649705,12312819,58887127,5682061576,10735570883,15824222811,1293616093,11060090341,21813173185,585684793,11043107800,7318081832,6664971343,5275647490,1985770271,290800,158317,46622,54666,60166,60587,68759,91920,66397,61,1244,65183,139093,217575,25961,131761,313976,14263,191519,93062,69715,57310,19867
20203,D,발달상권,3120186,가로수길,CS100007,치킨전문점,187937665,4368,139612230,48325435,21020331,27005741,28627284,31552873,31406001,27485876,20839559,27909940,0,0,5299582,64334954,90393189,93528558,64664933,2598807,37810890,43389205,34162171,29800412,10432003,3165,1203,422,628,668,699,748,646,557,580,0,0,181,1696,1911,2228,1622,101,927,954,863,731,277
20203,D,발달상권,3120186,가로수길,CS200003,예술학원,1105834017,2662,980333593,125500424,128756623,161781669,251919604,216931695,220944002,71591215,53909209,0,0,102254311,440650084,512421475,50508147,432866926,656928514,4948227,345838794,117001508,403380772,207740040,10886099,2398,264,315,314,782,599,388,157,107,0,0,220,1089,1246,107,1135,1502,16,794,463,968,381,16
20203,D,발달상권,3120186,가로수길,CS300022,화장품,24964180430,1136246,17622299748,7341880682,3098509961,3531408067,3643483599,3327971688,4020926433,4519118713,2822761969,15860060,371287239,4056535072,6529172697,11257700003,2733625359,5738889306,18666167413,515421802,12199303226,6263920979,2510297730,2296239216,619873759,805188,331058,138656,162996,161051,156867,185618,196820,134238,191,24232,185317,287770,506553,132183,229109,902554,33764,631645,259604,92574,90919,23158
20203,D,발달상권,3120186,가로수길,CS300017,시계및귀금속,31513260,105,31513260,0,0,0,0,0,31513260,0,0,0,0,0,31513260,0,0,0,31513260,0,31513260,0,0,0,0,105,0,0,0,0,0,105,0,0,0,0,0,105,0,0,0,105,0,105,0,0,0,0
20203,D,발달상권,3120186,가로수길,CS100002,중식음식점,801562945,20035,642118091,159444854,86981194,102882068,199815192,111952873,140486764,111494042,47950812,29782219,0,186624391,59031674,342949889,183174772,317424029,195394618,4487096,116813160,116040498,105814279,80855766,88807847,15627,4408,2722,3135,3398,3012,3360,2558,1850,400,0,8179,2616,7660,1180,9993,7080,288,5944,4329,2892,2122,1493
20203,D,발달상권,3120186,가로수길,CS100008,분식전문점,1318146106,71043,965720429,352425677,183069971,182834954,184351229,197737666,217726609,192061959,160363718,35294116,1770430,442263826,241744838,504917687,92155209,435846540,723092112,26443613,509718167,328574642,161917391,111876554,20408289,54489,16554,10640,10798,10498,11155,11398,9661,6893,684,181,26939,14101,26605,2533,23903,39752,1786,29280,16825,8659,5874,1224
20203,D,발달상권,3120186,가로수길,CS200008,한의원,1451970919,4604,1123053276,328917643,201161804,239519427,3386902,327448999,351536144,328917643,0,0,6772238,576072319,520127238,348999124,0,675172754,707162647,66628,41993976,125331347,234694940,490158752,490089758,3626,978,654,805,192,1115,860,978,0,0,115,1786,1720,983,0,1847,2743,13,229,495,1070,1353,1430
20203,D,발달상권,3120186,가로수길,CS100006,패스트푸드점,997674047,45571,617379019,380295028,107233183,124711619,127916155,115507104,142010958,196226325,184068703,0,1954351,375557686,219081025,389070750,12010235,481787758,402808353,6929031,359702595,293102676,116666286,77513813,30681709,29361,16210,5093,6381,6022,5207,6658,8281,7929,0,255,16090,11161,17332,733,21321,20675,565,18804,12337,5253,3702,1335
20203,D,발달상권,3120186,가로수길,CS100010,커피-음료,5027592864,366694,3312199959,1715392905,530339536,660798141,674416845,643040469,803604968,912796271,802596634,62092025,203816860,949277031,1498570280,1904386213,409450455,1711872547,2914490763,98998272,1859419448,1174889698,658160905,610287223,224607763,257284,109410,44800,49833,53264,51777,57610,63321,46089,5731,27748,79929,103262,114208,35816,136880,213568,11343,168942,86732,40905,31954,10560
20203,D,발달상권,3120186,가로수길,CS200007,치과의원,1147669080,7769,1089829081,57839999,150929305,183619119,183926047,255457309,315897301,57839999,0,0,135543400,276441438,532507321,202650487,526434,664021935,472219466,1209622,35479764,102230346,148488745,310471464,539803014,6901,868,1262,1680,1413,1115,1431,868,0,0,1660,1934,3293,877,5,3935,3801,22,350,1237,1395,2066,2679
20203,D,발달상권,3120186,가로수길,CS300015,가방,2210524592,18853,1223871601,986652991,185050040,207548847,320937446,295504849,214830419,537609899,449043092,0,0,361313137,807509009,1041702446,0,875594947,1334929645,89869788,1377797143,271804760,191680383,275967483,3405035,10578,8275,1635,2308,2789,2308,1538,4522,3753,0,0,2790,6542,9521,0,6767,12086,967,12085,2419,1447,1838,97
20203,D,발달상권,3120186,가로수길,CS300027,섬유제품,64240260,160,64240260,0,0,0,0,742993,63497267,0,0,0,0,10278071,41855278,12106911,0,43807950,20432310,0,0,13497708,38635641,12106911,0,160,0,0,0,0,17,143,0,0,0,0,50,83,27,0,77,83,0,0,67,66,27,0
20203,D,발달상권,3120186,가로수길,CS300028,화초,183638387,3227,145278272,38360115,16483413,13853289,57725972,13591597,43624001,27828267,10531848,0,9963561,96442200,42402628,33955725,874273,58538521,99635562,443661,30211452,91668502,11551974,3880096,20418397,2151,1076,311,335,523,314,668,683,393,0,110,1025,901,1132,59,1068,1804,27,1185,1157,197,171,138
20204,D,발달상권,3120186,가로수길,CS300010,반찬가게,189650205,6335,137189553,52460652,0,0,60775170,39790909,36623474,52460652,0,0,0,95221032,88490231,5938942,0,109276527,80373678,2969471,68495795,60577205,15045319,12867707,29694708,4553,1782,0,0,1386,990,2177,1782,0,0,0,2574,3365,396,0,2772,3563,198,2178,2375,594,396,594
20204,D,발달상권,3120186,가로수길,CS300015,가방,1130003066,10354,703649021,426354045,151282591,160867911,106170557,124416766,160911196,265433229,160920816,0,0,85671493,365341827,678989746,0,284774870,845228196,113236834,745480981,161565288,70478306,39241657,0,6283,4071,1250,1347,897,1443,1346,2436,1635,0,0,1155,3141,6058,0,2212,8142,608,6060,2405,865,416,0
20204,D,발달상권,3120186,가로수길,CS200028,미용실,2259569075,27220,1332374424,927194651,167081847,188426451,260936400,329037490,386892236,560298496,366896155,0,40663577,419166324,841982606,908604396,49152172,840316240,1407249753,7228612,571280427,696098663,479074629,344280261,149603403,17633,9587,2725,3251,3186,3867,4604,5142,4445,0,473,6281,9833,10310,323,14002,13140,139,9832,7970,4696,3336,1167
20204,D,발달상권,3120186,가로수길,CS200024,스포츠클럽,18499700,34,18499700,0,0,1783104,6463750,3789096,6463750,0,0,0,0,3231875,5014979,10252846,0,5572199,6463750,0,1783104,6463750,0,3789095,0,34,0,0,5,11,6,12,0,0,0,0,6,11,17,0,12,12,0,6,12,0,6,0
20204,D,발달상권,3120186,가로수길,CS300011,일반의류,29168149126,337269,18614855370,10553293756,2687779244,3586370068,3207592861,4753531707,4379581490,5944495236,4608798520,1540557,33918576,4384502367,10057018286,13976507162,714662178,10466642368,17659287781,570810374,10623921918,6838831832,5109296635,3747891081,1235178311,214150,123119,34415,36983,43014,46952,52786,70752,52367,24,777,48381,114961,160507,12619,101577,230023,10382,142275,67915,54366,43325,13338
20204,D,발달상권,3120186,가로수길,CS300016,안경,1398390824,11117,1029359921,369030903,169743527,318528043,177302128,190890971,172895252,200597903,168433000,0,53673314,354923926,501158621,471575032,17059931,708836402,660962257,13712346,308684801,240624130,514368980,222792002,69616401,7888,3229,1504,1430,1565,1490,1899,1863,1366,0,293,2062,3621,4693,448,3259,7776,412,4737,2332,1890,1279,386
20204,D,발달상권,3120186,가로수길,CS300020,서적,300724935,1069,278543047,22181888,187142977,63138206,0,24253089,4008775,16836855,5345033,0,0,144315899,64073587,92335449,0,167967671,37348420,0,33339645,3607898,0,157678482,10690067,801,268,399,134,0,134,134,201,67,0,0,201,534,334,0,467,402,0,401,134,0,267,67
