개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명
3030000,3030000-101-2023-00485,2023-11-06,,1,영업/정상,1,영업,,,,,,17,133-829,서울특별시 성동구 성수동2가 566-35,"서울특별시 성동구 성덕정17길 4, 1층 (성수동2가)",4776.0,성수포차,2023-11-06 16:23,I,08:00.0,기타
3030000,3030000-101-2023-00484,2023-11-06,,1,영업/정상,1,영업,,,,,,9.9,133-832,서울특별시 성동구 성수동2가 277-17 성수아카데미타워,"서울특별시 성동구 성수이로 118, 성수아카데미타워 1층 라성보석사우나 내 (성수동2가)",4797.0,라성식품,2023-11-06 10:41,I,08:00.0,기타
3030000,3030000-104-2023-00149,2023-11-07,,1,영업/정상,1,영업,,,,,,10.0,133-825,서울특별시 성동구 성수동1가 685-400,"서울특별시 성동구 서울숲길 44, 3층 (성수동1가)",4768.0,낫저스트북스(위해브노플랜),2023-11-07 13:29,I,09:00.0,커피숍
3030000,3030000-101-2023-00487,2023-11-08,,1,영업/정상,1,영업,,,,,,58.6,133-833,서울특별시 성동구 성수동2가 284-55 서울숲 SK V1 TOWER,"서울특별시 성동구 성수일로8길 5, 서울숲 SK V1 TOWER A동 105호 (성수동2가)",4793.0,두찜 성동성수점,2023-11-08 17:28,I,00:00.0,한식
3030000,3030000-101-2023-00488,2023-11-09,,1,영업/정상,1,영업,,,,,,47.78,133-828,서울특별시 성동구 성수동2가 532-39,"서울특별시 성동구 성덕정길 90-1, 1층 (성수동2가)",4775.0,분식갤러리,2023-11-09 14:06,I,01:00.0,분식
3030000,3030000-104-2023-00151,2023-11-10,,1,영업/정상,1,영업,,,,,,213.92,133-831,서울특별시 성동구 성수동2가 273-53 국제주물,서울특별시 성동구 성수이로18길 37 (성수동2가),4787.0,치즈인더스트리 성수,2023-11-10 16:02,I,02:00.0,커피숍
3030000,3030000-101-2023-00491,2023-11-13,,1,영업/정상,1,영업,,,,,070 88275994,44,133-826,서울특별시 성동구 성수동2가 254-5,"서울특별시 성동구 뚝섬로17길 33, 1층 102호 (성수동2가)",4785.0,빈즈앤플라워,2023-11-13 10:24,I,05:00.0,기타
3030000,3030000-101-2023-00492,2023-11-13,,1,영업/정상,1,영업,,,,,,47.43,133-823,서울특별시 성동구 성수동1가 656-684,"서울특별시 성동구 왕십리로10길 24, 지1층 (성수동1가)",4778.0,헤이든소주바,2023-11-13 12:11,I,05:00.0,기타
3030000,3030000-104-2023-00152,2023-11-13,,1,영업/정상,1,영업,,,,,,26.98,133-835,서울특별시 성동구 성수동2가 301-99,"서울특별시 성동구 연무장3길 3, 1층 (성수동2가)",4782.0,뉴믹스커피,2023-11-13 11:32,I,05:00.0,커피숍
3030000,3030000-104-2023-00153,2023-11-15,,1,영업/정상,1,영업,,,,,02  34451045,150.0,133-834,서울특별시 성동구 성수동2가 300-11 에프투텔레콤,"서울특별시 성동구 아차산로 83, 에프투텔레콤 1층 (성수동2가)",4793.0,큐비스토리,2023-11-15 11:50,I,07:00.0,커피숍
