매장,매장명,판매일자,전표번호,브랜드명,카테고리,판매상품,결제수단,판매금액,환불금액,판매수량,환불수량,본사바코드,비고
M012,이마트_월계점,2024-01-18,11001,마니,여성의류,티셔츠,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-18,11005,마니,여성의류,"오리털롱패딩, 조끼, 오리털조끼",카드,104000,,3,,B235KA99400000F,
M012,이마트_월계점,2024-01-18,11018,마니,여성의류,조끼,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-18,11011,마니,여성의류,골덴바지,카드,29000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-18,11025,마니,여성의류,티셔츠,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-18,11010,세영유니온,여성 모자,비니,카드,30000,,2,,B225KA02400000F,
M012,이마트_월계점,2024-01-18,11014,세영유니온,여성 모자,귀마개(블랙),카드,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-18,11009,세영유니온,여성 모자,귀마개(블랙),현금,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-18,11003,세영유니온,여성 모자,H에코퍼쁘띠,카드,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-18,11008,세영유니온,여성 모자,모자,카드,39000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-18,11020,오브원,홈웨어,남하의,카드,19000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-18,11029,윈드스카프,양말,니트양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-18,11015,윈드스카프,양말,양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-18,11007,팔레트슬라임,슬라임,애플망고,현금,8900,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-18,11019,팔레트슬라임,슬라임,애플망고,카드,8900,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-18,11012,플레인782,문구 및 팬시,모루인형만들기,카드,9900,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-18,11021,플레인782,문구 및 팬시,모루인형만들기,카드,9900,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-18,11017,플레인782,문구 및 팬시,샤프(마이멜로디),카드,7000,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-18,11031,플레인782,문구 및 팬시,저금통(폼폼푸린),카드,20000,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-18,11002,플레인782,문구 및 팬시,볼펜,현금,5000,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-18,11030,플레인782,문구 및 팬시,저금통(시나모롤),카드,33000,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-19,11003,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11022,마니,여성의류,티셔츠,상품권,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11021,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
