구분,팝업스토어,기간,시작 날짜,종료 날짜,권역,위치,태그
엔터테인먼트,우기 HAPPY FREAK DAY 팝업 in 서울,24.05.17 - 24.05.30,24.05.17,24.05.30,홍대,서울특별시 마포구 양화로 186 LC TOWER 1층,"여자아이들, 우기, 아이돌, 여자아이돌, 가수, 라인프렌즈, 굿즈, 쇼핑, 포토카드"
엔터테인먼트,우기 HAPPY FREAK DAY 팝업 in 부산,24.05.17 - 24.05.30,24.05.17,24.05.30,부산,부산광역시 해운대구 센텀남대로 35 신세계백화점센텀시티점,"여자아이들, 우기, 아이돌, 여자아이돌, 가수, 라인프렌즈, 굿즈, 쇼핑, 포토카드"
패션/잡화,세컨드 아르무아 미드세일 팝업스토어,24.05.17 - 24.05.24,24.05.17,24.05.24,강남,서울특별시 강남구 테헤란로 517 현대백화점 무역점 5층,"세컨드아르무아, 패션, 쇼핑, 옷, 세일, 할인, 신상품, 선물, 이벤트"
패션/잡화,스탠드오일 성수 TEMPORARY STORE,24.05.17 - 24.06.02,24.05.17,24.06.02,성수,서울특별시 성동구 연무장길 99,"스탠드오일, 성수, 패션, 쇼핑, 가방, 잡화, 주얼리, 액세서리"
캐릭터/IP,무직타이거 POP-UP STORE,24.05.17 - 24.06.02,24.05.17,24.06.02,명동,서울특별시 중구 남대문로 67 롯데영플라자 명동점 1층 정문,"무직타이거, 인형, 굿즈, 뚱랑이, 명동"
캐릭터/IP,담곰이 팝업스토어 <봄날의 담곰이>,24.05.17 - 24.06.27,24.05.17,24.06.27,홍대,서울특별시 마포구 양화로 162 카카오프렌즈 홍대플래그십 스토어,"농담곰, 담곰이, 굿즈, 캐릭터, 쇼핑, 홍대, 이벤트, 증정"
F&B,게토레이 제로 팝업스토어,24.05.18 - 24.05.24,24.05.18,24.05.24,성수,서울특별시 성동구 서울숲4길 15-1 인포멀 스퀘어,"게토레이, 게토레이제로, 음료, 음료수, 이온음료, 포토존"
엔터테인먼트,정브르 팝업스토어,24.05.18 - 24.05.26,24.05.18,24.05.26,용산,서울특별시 용산구 한강로3가,"정브르, 생물, 유튜버, 팬싸인회, 포토존, 할인, 이벤트, 전시"
패션/잡화,헤지스X사무엘스몰즈 <수퍼헤지스>,24.05.18 - 24.05.26,24.05.18,24.05.26,성수,서울특별시 성동구 연무장5가길 25 성수역 SK V1 Tower B107호,"헤지스, 사무엘스몰즈, 콜라보, 쇼룸, 패션, 옷, 쇼핑"
패션/잡화,에르메스 팝업 전시 <Hermès in the Making>,24.05.18 - 24.05.27,24.05.18,24.05.27,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 월드파크 잔디광장,"에르메스, 패션, 옷, 전시, 시연, 경험, 제작과정"
문화/예술,MMCA 기증작품전: 1960-70년대 구상회화,24.05.21 - 24.09.22,24.05.21,24.09.22,기타,경기도 과천시 광명로 313 국립현대미술관 과천,"국립현대미술관, 기증, 예술, 작품, 미술, MMCA"
F&B,몽블랑드파리 팝업스토어,24.05.21 - 24.05.30,24.05.21,24.05.30,강남,서울특별시 강남구 압구정로 343 갤러리아백화점 명품관 WEST B1,"몽블랑드파리, 베이커리, 디저트, 간식, 프리미엄, 소프트아이스크림, 아이스크림"
F&B,골든볼 팝업스토어,24.05.21 - 24.12.31,24.05.21,24.12.31,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 지하1층 22FOODTRUCK PLAZZA,"골든볼, 간식, 디저트, 도넛, 커피, 아이스크림, 피크닉, 용리단길, 두부"
패션/잡화,셔터 X 언노운블루 팝업스토어 <New Friends!>,24.05.21 - 24.06.02,24.05.21,24.06.02,용산,서울특별시 용산구 한강대로7길 18-13 나영전자 1층 리리스토어 서울,"셔터, 언노운블루, 콜라보, 패션, 쇼핑, 옷, 할인, 증정"
향수/향,라뜰리에 데 퍼퓸 팝업,24.05.21 - 24.05.28,24.05.21,24.05.28,성수,서울특별시 성동구 연무장길 81 남경빌딩 1층 무신사 스퀘어 성수2,"라뜰리에데퍼퓸, 향수, 향기, 퍼퓸, 이벤트, 경품"
기관/금융,대전청년내일센터 팝업 홍보관 <오늘부터 행복해>,24.05.22 - 24.05.25,24.05.22,24.05.25,대전,대전광역시 유성구 대학로 129 1층 글로리데이즈 별관,"대전, 대전청년내일센터, 지역, 청년, 마스코트, 캐릭터, 굿즈, 이벤트, 정책, 포토존"
리빙/라이프스타일,에델코첸 MOS X 성수동 팝업스토어,24.05.22 - 24.06.02,24.05.22,24.06.02,성수,서울특별시 성동구 연무장길 37 1층,"에델코첸, 식기, 키친, 주방용품, 할인"
리빙/라이프스타일,스탠리 팝업스토어 in 롯데월드몰,24.05.22 - 24.06.04,24.05.22,24.06.04,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 1층,"스탠리, 텀블러, 이벤트, 잠실, 롯데월드몰"
문화/예술,라운드그라운드 in 안국 퍼스트 러브展,24.05.22 - 24.05.26,24.05.22,24.05.26,종로,서울특별시 종로구 계동길 23,"라운드그라운드, 전시, 이야기, 안국동, 한옥, 가족, 키즈, 어린이"
전자제품/자동차,벨킨 팝업스토어 <Discover Tech with Belkin>,24.05.22 - 24.06.02,24.05.22,24.06.02,성수,서울특별시 성동구 아차산로 104 스탈릿성수 3층 무신사 테라스 성수,"벨킨, 무신사, 굿즈, 신제품, 럭키드로우, 이벤트, 포토존, 스티커사진, 체험, 전시"
패션/잡화,더바이닐하우스 팝업스토어,24.05.22 - 24.05.26,24.05.22,24.05.26,홍대,서울특별시 마포구 양화로10길 53 1층,"더바이닐하우스, 패션, 쇼핑, 옷, 이벤트, 할인"
패션/잡화,크록스 팝업스토어 <Play 2gether Crocs World>,24.05.22 - 24.06.02,24.05.22,24.06.02,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 1층 아트리움,"크록스, 신발, 개성, 이벤트, 지비츠, 포토존"
도서/문구,브루케시아 팝업스토어 <브루케시아 북스토어>,24.05.23 - 24.06.01,24.05.23,24.06.01,신촌,"서울특별시 서대문구 연희로11가길 2 2, 3층","브루케시아, 책방, 책, 독서, 이벤트, 퍼스널컬러, 촬영, 사전예약"
리빙/라이프스타일,버미큘라 팝업스토어,24.05.23 - 24.06.02,24.05.23,24.06.02,분당,경기도 성남시 분당구 판교역로146번길 20 현대백화점 판교점 8층,"버미큘라, 신제품, 오븐팟, 주방, 식기, 이벤트, 쿠킹클래스, 류니키친, 꽁블"
뷰티,퓨리토 팝업스토어 in 더현대 서울,24.05.23 - 24.05.29,24.05.23,24.05.29,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울,"퓨리토, 화장품, 스킨케어, 피부관리, 뷰티, 신제품"
뷰티,아닐로 X 33아파트먼트 팝업스토어,24.05.23 - 24.06.02,24.05.23,24.06.02,한남,서울특별시 용산구 한남대로27길 33 1층,"아닐로, 33아파트먼트, 콜라보, 헤어에센스, 헤어제품, 바디제품, 바디미스트, 바디로션, 할인, 증정품"
엔터테인먼트,선재업고튀어 팝업스토어,24.05.23 - 24.05.29,24.05.23,24.05.29,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B2F 아이코닉 팝업존,"선재업고튀어, 선업튀, 드라마, tvN, 김혜윤, 변우석, 류선재, 임솔, 굿즈, 이벤트, 티비엔"
패션/잡화,홀페이퍼 팝업스토어,24.05.23 - 24.05.29,24.05.23,24.05.29,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B2F,"홀페이퍼, 공항, 스타일, 패션, 쇼핑, 옷, 할인, 이벤트, 사은품"
패션/잡화,르에 팝업스토어,24.05.23 - 24.05.29,24.05.23,24.05.29,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B2F,"르에, 리조트, 캠페인, 추억, 패션, 쇼핑, 옷, 이벤트"
패션/잡화,메트로시티 롯데잠실점 팝업스토어,24.05.23 - 24.05.30,24.05.23,24.05.30,잠실,서울특별시 송파구 올림픽로 240 롯데월드 롯데백화점 잠실점 1층,"메트로시티, 서현, 소녀시대, 뮤즈, 신상, 여름, 이벤트, 팬사인회"
향수/향,포맨트 <COTTON HUGMON HOUSE>,24.05.23 - 24.06.05,24.05.23,24.06.05,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B2,"포맨트, 허그몬하우스, 더현대서울, 여의도, 코튼허그몬, 키링, 이벤트, 향수"
캐릭터/IP,소니엔젤 20주년 팝업스토어 in 더현대서울,24.05.23 - 24.06.10,24.05.23,24.06.10,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 5층 플레이인더박스,"소니엔젤, 캐릭터, 굿즈, 피규어, 쇼핑, 포토프레임, 20주년, 이벤트"
캐릭터/IP,소니엔젤 20주년 팝업스토어 in 스타필드 수원,24.05.23 - 24.06.10,24.05.23,24.06.10,수원,경기도 수원시 장안구 수성로 175 스타필드 수원 4층 플레이인더박스,"소니엔젤, 캐릭터, 굿즈, 피규어, 쇼핑, 포토프레임, 20주년, 이벤트"
캐릭터/IP,소니엔젤 20주년 팝업스토어 in 코엑스,24.05.23 - 24.06.10,24.05.23,24.06.10,강남,서울특별시 강남구 영동대로 513 코엑스 메가박스 지하2층 플레이인더박스,"소니엔젤, 캐릭터, 굿즈, 피규어, 쇼핑, 포토프레임, 20주년, 이벤트"
도서/문구,키링집 팝업스토어,24.05.24 - 24.08.31,24.05.24,24.08.31,강남,서울특별시 강남구 강남대로 426 진우빌딩 일상비일상의틈 강남 2층,"키링집, Colley, tub., 콜리, 텁, 키링, DIY, 소품, 콜라보, 생화, 포토존, 증정, 이벤트"
리빙/라이프스타일,퍼울 리뉴 런웨이 팝업,24.05.24 - 24.06.06,24.05.24,24.06.06,성수,서울특별시 성동구 연무장11길 13 플랜트란스 성수플래그쉽,"퍼울, 옷, 런웨이, 체험, 섬유유연제, 세탁, 향기, 미션, 이벤트, 포토존, 할인"
문화/예술,비컴스튜디오 팝업스토어,24.05.24 - 24.06.02,24.05.24,24.06.02,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 지하2층,"비컴스튜디오, 일러스트, 드로잉, 캐리커처, 반려동물"
반려동물/식물,느으슨 미니 팝업 마켓 <피크닉 블룸>,24.05.24 - 24.05.26,24.05.24,24.05.26,한남,서울특별시 용산구 신흥로20길 35 인프로그레스 서점,"느으슨, 식물, 식집사, 화분, 피크닉, 관엽식물"
