구분,팝업스토어,기간,시작 날짜,종료 날짜,권역,위치,태그
문화/예술,<The New Luxe> 전시,24.02.21 - 24.03.24,24.02.21,24.03.24,성수,서울특별시 성동구 서울숲4길 16-9 아트태그하우스,"전시, 럭셔리, 예술, 명품, 서울숲, 아트버디더럭셔리"
F&B,KRUSH Avenue,24.02.21 - 24.03.03,24.02.21,24.03.03,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 B1F 팝업매장,"롯데칠성, 크러시, 에비뉴, 맥주, 카리나, 롯데백화점"
엔터테인먼트,트라이비 팝업스토어,24.02.21 - 24.02.25,24.02.21,24.02.25,성수,서울특별시 성동구 연무장길 13 1층 온더무브,"트라이비, kpop, 아이돌, 걸그룹, 굿즈, 성수, 온더무브"
전자제품/자동차,헤이딜러 HEY LITTLE 팝업스토어,24.02.21 - 24.03.10,24.02.21,24.03.10,하남,경기도 하남시 미사대로 750 스타필드 하남 1F 센트럴 아트리움,"헤이딜러, 체험, 스타필드, 하남, 중고차"
패션/잡화,xlim X 더현대서울 팝업스토어,24.02.21 - 24.03.31,24.02.21,24.03.31,여의도,서울특별시 영등포구 여의대로 108 (파크원) 더현대 서울 2F POP-UP 매장,"더현대, 팝업, xlim, 시놉시스, 건축, 디자인, 패션, 에피소드, 키드밀리, 딘"
뷰티,더블유드레스룸 팝업스토어,24.02.22 - 24.03.05,24.02.22,24.03.05,성수,서울특별시 성동구 연무장길 81 남경빌딩 스퀘어성수2 1층,"더블유드레스룸, 퍼퓸, 핸드크림, 바디워시, 포토존, 이벤트"
패션/잡화,아웃핏배틀코리아 'SHOWNIVERSE',24.02.22 - 24.02.25,24.02.22,24.02.25,성수,서울특별시 성동구 연무장15길 11 태광산업 S-FACTORY B동 129호,"아웃핏배틀코리아, 유튜브, 패션, 포토존, 이벤트, 성수, 에스팩토리"
패션/잡화,데상트 <TRUST YOURSELF CHRON>,24.02.22 - 24.02.25,24.02.22,24.02.25,성수,서울특별시 성동구 성수이로7길 41 KASINA 성수,"데상트, 크론, chron, 10주년, 규하나, 하이브파크, 보트, 아미라, 성수"
캐릭터/IP,포코리프렌즈 <LOVE LOVE BAKERY>,24.02.22 - 24.04.07,24.02.22,24.04.07,홍대,서울특별시 마포구 와우산로35길 13 오브젝트 서교점 1층,"포코리프렌즈, 오브젝트, 이슬로, 홍대, 전시, 다람쥐"
F&B,818 데킬라 팝업스토어,24.02.23 - 24.03.07,24.02.23,24.03.07,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B1F 중앙 에스컬레이터 옆,"818데킬라, 칵테일, 더현대서울, 레시피, 시음, 데킬라, 주류, 술"
F&B,용용선생 X YUME 마라오뎅바 팝업스토어,24.02.23 - 24.03.10,24.02.23,24.03.10,명동,서울특별시 중구 을지로12길 7 유메오뎅,"용용선생, 마라, 오뎅, 유메, 을지로"
여행,노랑풍선 팝업스토어 <YOU LOVE>,24.02.23 - 24.03.03,24.02.23,24.03.03,기타,경기도 의왕시 바라산로 1 롯데프리미엄아울렛 타임빌라스 GF광장,"노랑풍선, 여행, 유럽, 롯데타임빌라스, 바르셀로나, 사그라다파밀리아성당, 튀르키예"
패션/잡화,SALOMON <WELCOME BACK TO EARTH>,24.02.23 - 24.03.07,24.02.23,24.03.07,성수,서울특별시 성동구 성수이로 97 EMPTY,"살로몬, salomaon, 트레이닝복, 운동화, 스포츠, 성수, empty, 산"
향수/향,포맨트 <COTTON HUGMON HOUSE>,24.02.23 - 24.03.17,24.02.23,24.03.17,홍대,서울특별시 마포구 홍익로6길 27 1F,"포맨트, 허그몬하우스, 홍대, 프로즌, 백야, 첫눈, 이벤트, 향수"
캐릭터/IP,마동곰 팝업스토어,24.02.23 - 24.03.07,24.02.23,24.03.07,대구,대구광역시 중구 달구벌대로 2077 현대백화점 4층,"마동곰, 근육곰돌이, 라이트업스튜디오, 인형, 키링, 굿즈, 헬스, 더현대"
캐릭터/IP,ZANMANG FOREST POP-UP STORE,24.02.23 - 24.03.21,24.02.23,24.03.21,수원,경기도 수원시 장안구 수성로 175 4층 팝업테넌트,"잔망, 루피, 포레스트, 굿즈, 이벤트, 포토존, 스타필드, 잔망루피, 캐릭터"
뷰티,멜린앤게츠(MALIN+GOETZ) 팝업스토어,24.02.26 - 24.03.17,24.02.26,24.03.17,성수,서울특별시 성동구 연무장길 20-1 비통레브 르알레스카,"멜린앤게츠, 바디케어, 핸드워시, 바디워시, 바디로션, 캔들, 퍼퓸, 향수, 향기, 컬렉션"
뷰티,닥터지X레오제이 바쿠치올 포어젯 팝업스토어,24.02.26 - 24.03.03,24.02.26,24.03.03,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 1F GATE 3 앞,"닥터지, 레오제이, 더현대서울, 뷰티, 화장품, 피부, 포토존, 이벤트, 유튜버, 콜라보"
리빙/라이프스타일,무신사테라스 봄맞이 기프트샵,24.02.27 - 24.03.04,24.02.27,24.03.04,성수,서울특별시 성동구 아차산로 104 스탈릿성수 무신사 테라스 성수 3층,"무신사, 테라스, 성수, 봄맞이, 기프트샵, 리빙, 집콕"
뷰티,클리오 상회 <후로페샤날 청과점>,24.02.28 - 24.03.03,24.02.28,24.03.03,성수,서울특별시 성동구 서울숲2길 27,"클리오, 후로페샤날청과점, 청과에디션, 킬커버더뉴파운웨어, 조효진, 민스코"
엔터테인먼트,Ktown4u coex 플레이브 팝업스토어,24.02.28 - 24.03.05,24.02.28,24.03.05,강남,"서울특별시 강남구 영동대로 513 코엑스 4층 케이타운포유 코엑스 space #1,2,3","코엑스, 플레이브, plave, 버추얼아이돌, 예준, 노아, 밤비, 은호, 하민"
뷰티,맥 맥시멀 매트 립스틱 팝업스토어,24.02.29 - 24.03.10,24.02.29,24.03.10,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 1층 아트리움,"맥, MAC, 립스틱, 총알립스틱, 맥시멀매트립스틱"
F&B,밀양딸기 1943* 팝업스토어,24.02.29 - 24.03.02,24.02.29,24.03.02,성수,서울특별시 성동구 성수일로 1 위키드와이프,"밀양딸기1943, 밀양물산, 밀양시, 처음맛본태양, 딸기, 리빙센스, 위키드와이프, 성수"
F&B,그래놀라 <HOUSE OF BEILSANG>,24.02.29 - 24.03.09,24.02.29,24.03.09,강남,서울특별시 강남구 언주로164길 21-3 꼴라보하우스 도산,"그래놀라, GRBK, 디저트, 스낵, 브런치, 홈카페, 하우스오브비일상"
캐릭터/IP,폴씨의 뚝도상점,24.02.29 - 24.03.28,24.02.29,24.03.28,성수,서울특별시 성동구 아차산로 6 누디트 서울숲 1층,"폴씨, 누디트, 성수, 150studio, 고양이다방, 구냥이상점, 글리밍데이, 노낫네버, 니어멜로우, 니어앤디어, 로우스튜디오, 만타박스, 무직타이거, 미유미유, 설기일러스트, 수바코, 수집가무무, 스코티프렌즈, 시꾸, 아찔, 알로하밸런스, 쿠버블, 하쯔"
엔터테인먼트,PLAVE 1st ANNIVERSARY POP-UP STORE : WAY 4 LUV,24.03.01 - 24.03.17,24.03.01,24.03.17,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 5F,"플레이브, plave, 더현대서울, 여의도, 버추얼아이돌, 예준, 노아, 밤비, 은호, 하민, 블래스트"
패션/잡화,마뗑킴 스페셜 스토어,24.03.01 - 24.05.31,24.03.01,24.05.31,성수,서울특별시 성동구 연무장길 13 1층,"마뗑킴, 액세서리, matinkim, 패션, 의류, 성수, 시그니처액세서리"
캐릭터/IP,"반갑다, 친구야! 팝업스토어",24.03.01 - 24.03.10,24.03.01,24.03.10,신촌,서울특별시 서대문구 연세로 13 현대백화점 유플렉스 지하 2층,"안녕자두야, 비비빅, 신학기, 새학기, 신촌, 현대백화점"
뷰티,발렌티노 뷰티 <HOUSE OF CUSHION>,24.03.06 - 24.03.10,24.03.06,24.03.10,성수,서울특별시 성동구 연무장길 101-1 오우드 성수 1호점,"발렌티노, 발렌티노뷰티, 쿠션, 고-쿠션, 고쿠션글리터, 하우스오브쿠션, 스파클럭키그린, 항공샷, 인생네컷"
뷰티,3CE 달다구리 팝업,24.03.07 - 24.03.17,24.03.07,24.03.17,성수,서울특별시 성동구 연무장길 81 남경빌딩 1층 무신사 스퀘어 성수2,"3CE, 무신사스퀘어성수, 메이크업, 달다구리, 화장품, 달다구리에디션, 로즈티라미슈팔레트, 솜사탕블러셔, 포근생기틴트"
패션/잡화,젠틀몬스터 x 메종 마르지엘라,24.03.07 - 24.04.25,24.03.07,24.04.25,강남,서울특별시 강남구 압구정로46길 50 QUEENMAMA MARKET 젠틀몬스터 하우스 도산,"젠틀몬스터, 메종마르지엘라, 팝업스토어, 도산, 쇼핑, 로봇, 인간, 교감, 현재, 미래, 시공간"
패션/잡화,"무이x원모어백 <나가서 놀자, 가볍게 걷자!> 팝업스토어",24.03.08 - 24.03.25,24.03.08,24.03.25,종로,서울특별시 종로구 필운대로 6-1 (아이에스빌딩) 2층 원모어백,"나가서놀자가볍게걷자, 무이, mui, 원모어백, onemorebag, 무이팝업, 무이팝업스토어, 원모어백팝업, 서촌팝업, 서촌팝업스토어, 팝업, 팝업스토어추천, 경복궁역, 서울여행, 패션브랜드, 패션브랜드팝업, 서촌소품샵, 서촌가볼만한곳, 서울가볼만한곳, 종로가볼만한곳, 서촌데이트, 데이트추천, 가방브랜드, 백팩, 백팩추천, 신발브랜드"
캐릭터/IP,스누피 팝업스토어,24.03.08 - 24.03.31,24.03.08,24.03.31,강남,서울특별시 서초구 신반포로 176 센트럴시티 신세계백화점 강남점 B1 스위트파크 팝업존,"강남, 스누피, 비글스카우트, 스누피팝업, 신세계백화점, 굿즈, 이벤트"
캐릭터/IP,슈야의 스위트샵 in 부산,24.03.08 - 24.04.03,24.03.08,24.04.03,부산,부산광역시 중구 광복로 62 카카오프렌즈 부산 플래그십 스토어,"슈야, 토야, 스위트샵, 초콜릿, 굿즈, 이벤트, 카카오프렌즈"
캐릭터/IP,수키도키 공장,24.03.08 - 24.04.04,24.03.08,24.04.04,홍대,서울특별시 마포구 양화로 162 카카오프렌즈 홍대플래그십 스토어,"수키도키, 카카오프렌즈샵, 수키도키공장, 홍대, 굿즈, 쥐순이, 인형"
뷰티,마몽드 <BLOOM YOUR GLOW>,24.03.09 - 24.03.24,24.03.09,24.03.24,성수,서울특별시 성동구 연무장길 11 (주)건영피혁,"마몽드, 화장품, 플로라글로우로즈라인, 장미꽃, 풍선, 키링, 이벤트, 세계관"
F&B,가나 초콜릿 하우스 시즌3,24.03.09 - 24.04.07,24.03.09,24.04.07,성수,"서울특별시 성동구 뚝섬로 403 1층,2층","가나, 가나초콜릿, 가나초콜릿하우스, 사계절, 원데이클래스, 성수, 초콜릿"
엔터테인먼트,Mr. Freak's Lab : Sweet Escape,24.03.09 - 24.03.24,24.03.09,24.03.24,성수,서울특별시 성동구 연무장11길 13 플랜트란스 성수플래그쉽,"샤이니키, 키, 김기법, 앨범, 컴백, 샤이니, 전시, 디저트공장, 컨셉"
향수/향,구딸 부티크 팝업 스토어,24.03.13 - 24.04.30,24.03.13,24.04.30,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 에비뉴엘 월드타워점 지하1층,"구딸, 쁘띠쉐리, 리미티드, 럭키드로우, 포토존, 벚꽃, 데이트, 화장품, 뷰티, 향수"
도서/문구,83개의 책갈피 2024,24.03.15 - 24.04.29,24.03.15,24.04.29,신촌,서울특별시 서대문구 연희로11라길 10-6 2층 2층,"유어마인드, 책방, 서점, 책갈피, 독서, 감상, 소품, 굿즈, 취미, 독립출판, 독립서점, 아트북, 음반"
캐릭터/IP,눈사람 눙눙이 팝업스토어,24.03.15 - 24.03.28,24.03.15,24.03.28,신촌,서울특별시 서대문구 연세로 13 현대백화점 유플렉스 B2층,"눈사람눙눙이, 눙눙이, 소품, 굿즈, 신촌, 핀뱃지, 파우치, 벚꽃스티커"
캐릭터/IP,도구리 미니 팝업 in 광화문,24.03.15 - 24.04.22,24.03.15,24.04.22,종로,서울특별시 종로구 종로 1 교보생명빌딩 B1F 핫트랙스 광화문점,"도구리, 굿즈, 미니팝업, 광화문, 핫트랙스, 봄, 벚꽃"
기타,TENGA SHOP DOOTA,24.03.16 - 24.09.16,24.03.16,24.09.16,동대문,서울특별시 중구 장충단로 275 두타몰,"텐가, 성인용품"
전자제품/자동차,로지텍G 팝업스토어,24.03.16 - 24.03.28,24.03.16,24.03.28,강남,"서울특별시 강남구 강남대로 426 진우빌딩 1층, B1층","로지텍, 일상비일상의틈, 강남, 게이밍, 게이밍아이템, 로지텍G"
F&B,제임슨 마당 in 홍대,24.03.17 - 24.04.14,24.03.17,24.04.14,홍대,서울특별시 마포구 와우산로 76-1 제임슨 마당,"제임슨, 제임슨위스키, 위스키, 주류, 술, 투어, 클래스, 사전예약, 바텐더, 이벤트"
리빙/라이프스타일,IKEA 팝업스토어 더현대 서울,24.03.19 - 24.06.30,24.03.19,24.06.30,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 5층,"이케아, 가구, 쇼핑, 쇼룸, 소품, 굿즈, 리빙, 나들이, 특가, 이벤트"
문화/예술,DRAWING GARDEN 노마&드로잉메리 2인전,24.03.19 - 24.04.07,24.03.19,24.04.07,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 5F 에픽서울,"드로잉가든, 노마, 드로잉메리, 전시, 더현대, 하입앤, 일러스트, 드로잉, 봄, 데이트, 원화, 굿즈"
캐릭터/IP,와와일공구X텐바이텐,24.03.19 - 24.04.25,24.03.19,24.04.25,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 6층 언커먼스토어,"와와일공구, 텐바이텐, 굿즈, 다꾸, 더현대, 언커먼스토어, 쿠션, 이벤트, 데이트, 스티커, 문구류"
엔터테인먼트,<피지컬:100 언더그라운드> 팝업스토어,24.03.20 - 24.04.07,24.03.20,24.04.07,성수,서울특별시 성동구 연무장길 38-1 엘리자베스빌딩 도어투성수,"넷플릭스, 피지컬100, 도어투성수, 피지컬100시즌2, 헬스, 피지컬100시즌2언더그라운드"
리빙/라이프스타일,용산 아이파크몰 X 플래지어 톰빈백소파 팝업,24.03.22 - 24.05.21,24.03.22,24.05.21,용산,서울특별시 용산구 한강대로23길 55 용산역 용산 아이파크몰 4층 리빙관 메인존,"플래지어, 쇼파, 빈백, 리빙, 디자인, 이벤트, 포토존, 용산"
향수/향,<서천 맥문동 조향실> 팝업스토어,24.03.22 - 24.03.31,24.03.22,24.03.31,홍대,서울특별시 마포구 동교로38길 19 스몰타운스몰,"향, 조향, 디퓨저, 체험, 제작, 데이트"
캐릭터/IP,키키쿼카 더현대 대구 팝업,24.03.22 - 24.04.04,24.03.22,24.04.04,대구,대구광역시 중구 달구벌대로 2077 현대백화점 더현대 대구 6층,"키키쿼카, 쿼카, 캐릭터, 굿즈, 이벤트, 엽서, 다꾸, 스티커"
엔터테인먼트,기안84 개인전 : 奇案島(기안도; 기묘한 섬),24.03.23 - 24.04.20,24.03.23,24.04.20,성수,서울특별시 성동구 성수이로 74 (주)서울지류유통 대림창고,"기안84, 대림창고, 전시, 무신사성수, 무신사, 성수, 전시회, 기안도, 기묘한섬, 무신사드롭, 개인전"
전자제품/자동차,LG 틔운 SHOWCASE,24.03.26 - 24.05.12,24.03.26,24.05.12,여의도,서울특별시 영등포구 선유로 173 LG전자 베스트샵 서울양평점 2층 LG전자 그라운드220,"LG전자, 그라운드220, 힐링, 체험, 만들기, 틔운, 차, 메리골드, 맨드라미, 왁스타블릿, 봄, 소풍, 드로잉, 엽서, 식물"
패션/잡화,브라운브레스 롯데월드몰 팝업,24.03.26 - 24.04.22,24.03.26,24.04.22,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 B1F,"브라운브레스, 롯데월드몰, 잠실, 패션, 옷, 봄, 쇼핑, 이벤트"
도서/문구,성수문방구,24.03.28 - 24.04.07,24.03.28,24.04.07,성수,서울특별시 성동구 서울숲4길 16-9 아트태그하우스 성수,"성수, 아트태그하우스, 전시, 굿즈, 인형, 소품, 문구류, 포토존, 이벤트, 봄, 벚꽃, 서울숲"
엔터테인먼트,DREAM()SCAPE ZONE,24.03.28 - 24.04.03,24.03.28,24.04.03,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B2F 아이코닉 스퀘어 더현대 서울 B2F 아이코닉 스퀘어,"NCT, NCT드림, 엔시티, 에스엠, SM, 아이돌, 성수, 팝업, 굿즈, 앨범, 이벤트, 스무디"
패션/잡화,아쿠비클럽 더현대 팝업스토어,24.03.28 - 24.04.03,24.03.28,24.04.03,여의도,"서울특별시 영등포구 여의대로 108 파크원 더현대 B2F, 이스트 팝업존","아쿠비클럽, 아쿠비더현대, 더현대팝업, 아쿠비스타일, acubiclub, 패션, 옷, 신상, 봄, 데이트"
패션/잡화,Blank 03 팝업,24.03.28 - 24.04.09,24.03.28,24.04.09,여의도,"서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B2F, 이스트 팝업존","blank03, 블랭크공삼, 패션, 더현대, 여의도, 봄, 데이트, 옷, 신상, 할인, 이벤트, 증정"
캐릭터/IP,핑평모찌팥(PPMZP) 팝업,24.03.28 - 24.03.31,24.03.28,24.03.31,홍대,서울특별시 마포구 월드컵북로1길 14 웅일빌딩 2층 홍대집,"핑평모찌팥, 핑루, 평화, 모이또이, 훈찌, 단팥, 인생네컷, 스티커마켓, 스티커, 굿즈, 다꾸, 다이어리, 문구"
기관/금융,KTX 20주년 기념 철도문화전 <여정 그 너머>,24.03.29 - 24.04.21,24.03.29,24.04.21,명동,서울특별시 중구 통일로 1 서울역(본옥) 문화역서울284,"전시, KTX, 철도, 문화, 20주년, VR, 체험, 가족"
기타,2024 Eaty Pop-up,24.03.29 - 24.03.31,24.03.29,24.03.31,홍대,서울특별시 마포구 어울마당로 68 홍대 스타스퀘어,"잇티, eaty, 체험, 공연, 굿즈, 포토존, 블라인드소개팅, 핫플, 대동핫지도, 캡슐뽑기"
뷰티,발렌티노 뷰티 팝업스토어 in 부산,24.03.29 - 24.04.07,24.03.29,24.04.07,부산,부산광역시 해운대구 센텀남대로 35 신세계백화점센텀시티점 1층,"발렌티노뷰티, 화장품, 쿠션, 신상, 뷰티, 부산, 센텀시티, 고쿠션, 이벤트, 글리터, 향수"
F&B,탕후루카페 팝업스토어,24.03.29 - 24.04.04,24.03.29,24.04.04,여의도,"서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B2F, 이스트 팝업존","탕후루카페, 사고오마카세, 아누누, 탕후루, 간식, 디저트, 더현대팝업, 더현대"
F&B,호가든 벚꽃 사진관,24.03.29 - 24.04.07,24.03.29,24.04.07,여의도,서울특별시 영등포구 여의서로 60-2 가로판매대22 국회 뒤편,"호가든, 여의도, 여의도벚꽃축제, 벚꽃, 축제, 호가든로제, 맥주, 술, 주류, 데이트, 커플, 포토존"
전자제품/자동차,MINI 헤리티지 & 비욘드 전시,24.03.29 - 24.04.21,24.03.29,24.04.21,강남,서울특별시 강남구 선릉로 807 KMCA미술관,"미니, MINI, 헤리티지, 역사, 혁신, 디자인, 자동차, 차, 차덕, 전시"
패션/잡화,루즈앤라운지 캡슐라인 팝업스토어,24.03.29 - 24.04.04,24.03.29,24.04.04,성수,서울특별시 성동구 연무장15길 11 태광산업 EQL GROVE,"루즈앤라운지, 베를린, 캡슐라인, 성수, EQL, 그라피티, 백팩, 컨버스백, 곰돌이키링, 패션, 룰라베어"
패션/잡화,LENINA 24 SPRING POP-UP ”BONJOUR TO LOVE“,24.03.29 - 24.04.23,24.03.29,24.04.23,성수,서울특별시 성동구 아차산로 78 남양에코넷센터 이구성수,"르니나, 사나, 트와이스, 브로슈어, 이벤트, 코사지, SNS, 29CM, 봄, 패션, 옷"
캐릭터/IP,롯타와봄 X 최고심,24.03.29 - 24.04.14,24.03.29,24.04.14,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰,"최고심, 롯데, 월드타워, 잠실, 롯데월드, 잔디광장, 이벤트, 포토존, 굿즈, 캐릭터, 뮤직, 봄, 피크닉"
캐릭터/IP,플레이인더박스 X 익명깨꾹 팝업스토어,24.03.29 - 24.04.24,24.03.29,24.04.24,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 5F 플레이인더박스 더현대 서울 5F 플레이인더박스,"익명이, 깨꾹이, 굿즈, 포토존, 캐릭터, 이벤트, 사은품, 인생네컷, 포토부스, 콜라보, 플레이인더박스"
리빙/라이프스타일,장인성의 말랑한 오피스,24.03.30 - 24.08.25,24.03.30,24.08.25,성수,서울특별시 성동구 연무장길 20 레어로우하우스,"장인성, 오피스, 사무실, 라이프스타일, 환경, 환경보호, 삶, 사전예약, 책, 독서"
뷰티,"클레어스 <열어봐, 너의 민감함>",24.03.30 - 24.04.14,24.03.30,24.04.14,성수,서울특별시 성동구 연무장5길 19,"클레어스, 스킨케어, 민감성, 피부, 사전예약, 민감함, 사연"
엔터테인먼트,HOPE ON THE STREET POP-UP,24.03.30 - 24.04.05,24.03.30,24.04.05,성수,서울특별시 성동구 둘레7길 15 1~3층,"BTS, 제이홉, 티빙, 방탄, 방탄소년단, 전시, 굿즈, 위버스, 빅히트, 아이돌"
기타,있어서 좋아! 팝업스토어,24.04.01 - 24.04.07,24.04.01,24.04.07,홍대,서울특별시 마포구 동교로38안길 17 수앤지빌 1층 팔시보스토어,"5호선청년부, 유튜브, 교회, 청년부, 소금빵, 굿즈, 포토존, 뽑기, 이벤트, 크리스천"
도서/문구,핀 서재 팝업스토어,24.04.01 - 24.04.06,24.04.01,24.04.06,강남,서울특별시 서초구 신반포로 321 미래엔,"핀시리즈, 핀서재, 기념, 팝업스토어, 책, 도서, 독서, 감상, 이벤트, 출판사, 현대문학"
뷰티,센카랜드,24.04.01 - 24.04.07,24.04.01,24.04.07,성수,서울특별시 성동구 성수일로 1 위키드와이프,"센카, 클렌징, 약산성, 카밍시카, 슈퍼럭키201, 콜라보, 룰렛, 경품, 체험"
뷰티,정샘물 Find Youtiful 팝업스토어,24.04.01 - 24.04.30,24.04.01,24.04.30,강남,서울특별시 서초구 강남대로 429 올리브영 강남타운,"정샘물, 화장품, 뷰티, 올리브영, 강남, 이벤트, 기획, 포토존, 나다움, 아름다움"
F&B,한맥 엑스트라 크리미 생 라이브,24.04.01 - 24.04.10,24.04.01,24.04.10,여의도,서울특별시 영등포구 국제금융로 10 서울 국제금융 센터 여의도 IFC몰 노스아트리움,"한맥, 한맥생맥주, 맥주, 여의도팝업, 생맥주, 술, 주류, 크리미, 체험, 선물, 이벤트"
F&B,버츄오 더블에스프레소 바,24.04.01 - 24.04.14,24.04.01,24.04.14,잠실,서울특별시 송파구 올림픽로 240 롯데월드 롯데백화점 잠실점 1층,"네스프레소, 버츄오, 에스프레소, 카페, 더블에스프레소바, 에스프레소바, 커피"
F&B,성수 바질연구소 팝업스토어,24.04.01 - 24.04.14,24.04.01,24.04.14,성수,서울특별시 성동구 뚝섬로3길 22 EPISODE Seong Su 121 스몰글라스,"너드브루어리, 바질, 막걸리, 바질연구소, 너드, 웰컴드링크, 주류, 술, 전통주, 체험, 시음"
F&B,봄에 취한 뿌엉이,24.04.01 - 24.04.30,24.04.01,24.04.30,강남,서울특별시 강남구 테헤란로1길 28-11 부엉이산장 강남점,"부엉이산장, 부엉이, 강남, 봄, 굿즈, 캐릭터, 이벤트, 추첨, 신메뉴, 전통주, 음식, 식사"
엔터테인먼트,베이비몬스터 팝업스토어,24.04.01 - 24.04.10,24.04.01,24.04.10,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B1F 이벤트 플라자,"베이비몬스터, YG, 걸그룹, 아이돌, 데뷔, 앨범, 굿즈, 신인, 가수, 노래"
패션/잡화,디앳지X제인마치 팝업,24.04.01 - 24.04.10,24.04.01,24.04.10,성수,서울특별시 성동구 성수일로3길 8 제인마치,"제인마치, 디앳지, CJ온스타일, 쇼핑몰, 홈쇼핑, 라이브방송, 라이브, 이벤트, 패션, 옷, 봄, 데이트"
패션/잡화,때무든 세탁소,24.04.01 - 24.04.30,24.04.01,24.04.30,성수,서울특별시 성동구 서울숲4길 26 1층,"세탁특공대, 빈티지, 서울숲, 세탁, 헌옷, 포토부스, 패션, 쇼핑, 옷, 인생네컷"
뷰티,헤라 블랙 쿠션 파운데이션 <ANYWHERE POP-UP>,24.04.02 - 24.04.21,24.04.02,24.04.21,성수,서울특별시 성동구 연무장길 11 (주)건영피혁 1층,"헤라, 블랙쿠션, 파운데이션, 화장품, 뷰티, 성수, 이벤트, 체험, 메이크업, 사전예약, 전시"
패션/잡화,이우가마카라스 팝업스토어,24.04.02 - 24.04.07,24.04.02,24.04.07,한남,서울특별시 용산구 이태원로 230 스퀘어 한남,"이우가마카라스, 아캄, 가방, 레트로, 디자이너, 아카이브, 리퍼브, 할인, 이벤트"
캐릭터/IP,도구리 <미니 팝업> in 잠실,24.04.02 - 24.04.30,24.04.02,24.04.30,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 4층 아크앤북 잠실점,"도구리, 굿즈, 미니팝업, 아크앤북, 봄, 벚꽃, 롯데월드몰"
캐릭터/IP,벨리곰 팝업스토어,24.04.02 - 24.05.31,24.04.02,24.05.31,명동,서울특별시 중구 명동길 15 나우인명동,"벨리곰, 캐릭터, 명동, 이벤트, 서커스, 굿즈, 포토존, 나우인명동, 특가"
반려동물/식물,TIME FOR SOMETHING: GREEN,24.04.03 - 24.04.21,24.04.03,24.04.21,성수,서울특별시 성동구 연무장17길 10 LCDC SEOUL DOORS,"선데이플래닛47, 식물, 식집사, LCDC, 성수, 체험, 반려식물, 케어, 굿즈, 선물, 초록, 건강, 힐링"
캐릭터/IP,아톰X잇섭 팝업스토어,24.04.04 - 24.04.10,24.04.04,24.04.10,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B2F 아이코닉존,"아톰, 잇섭, 콜라보, 유튜버, 연구실, 인테리어, 굿즈, 피규어, 더현대, 여의도, 캐릭터, 포토부스, 이벤트"
리빙/라이프스타일,BETTER FINGER 팝업스토어,24.04.05 - 24.04.18,24.04.05,24.04.18,수원,경기도 수원시 팔달구 덕영대로 924 AK플라자 2F 아카블랭크,"베터핑거, 주방, 식기, 텀블러, 이벤트, 경품, 즉석사진, 포토존, 스티커, 키링, 감성, 피크닉, 캠핑"
문화/예술,달리기 : 새는 날고 물고기는 헤엄치고 인간은 달린다,24.04.05 - 24.07.28,24.04.05,24.07.28,명동,서울특별시 중구 퇴계로6가길 30 피크닉,"피크닉, 전시, 달리기, 운동, 생활체육, 미술, 조각, 건축, 설치미술, 사진, 즐거움, 일상"
뷰티,설화수 인삼장 팝업스토어,24.04.05 - 24.04.14,24.04.05,24.04.14,부산,부산광역시 해운대구 센텀남대로 35 신세계백화점센텀시티점 1F,"설화수, 인삼장, 인삼, 헤리티지, 역사, 재해석, 화장품, 뷰티, 부산, 센텀시티, 이벤트"
F&B,서울(성수) 진로골드 판타지아,24.04.05 - 24.05.06,24.04.05,24.05.06,성수,서울특별시 성동구 연무장길 53 삼영빌딩,"진로, 진로골드, 판타지아, 황금비율, 주류, 술, 소주, 서울, 성수, 데이트, 봄"
패션/잡화,코치 성수 팝업,24.04.05 - 24.04.17,24.04.05,24.04.17,성수,서울특별시 성동구 연무장길 35 스테이지35,"코치, 캠페인, 포토존, AR, 체험, 성수, 사전예약, 퀼팅백, 가방, 경품, 증정, 이벤트, 봄"
캐릭터/IP,쿵야 레스토랑,24.04.05 - 24.05.16,24.04.05,24.05.16,홍대,서울특별시 마포구 양화로 162 카카오프렌즈 홍대플래그십 스토어,"쿵야레스토랑즈, 쿵야, 굿즈, 양파쿵야, 짤, 병맛, 인형, 키링, 캐릭터"
