매체,광고 세트,소재,광고 시작일,광고 종료일,캠페인 목표,지출금액,광고 결과,결과 당 비용,도달,노출,CTR(전체),CPC(전체),CPM,빈도,게시물 참여,고객 전환,고객 획득 당 비용,번호 수집,비고,on/off
팝업스토어가자,3차,13안,2024.6.13,2024.6.17,트래픽,₩66 ,,,12,13,0.00%,₩0 ,"₩5,077 ",1.08,6,0,₩0 ,,,off
팝콘,4차,10안,2024.6.14,2024.6.17,트래픽,"₩68,455 ",582,₩118 ,"12,044","12,799",4.66%,₩115 ,"₩5,348 ",1.06,"3,975",0,₩0 ,,,off
팝콘,4차,12안,2024.6.14,2024.6.17,트래픽,₩144 ,,,22,22,0.00%,₩0 ,"₩6,545 ",1,6,0,₩0 ,,,off
팝콘,4차,13안,2024.6.14,2024.6.17,트래픽,₩12 ,,,4,4,0.00%,₩0 ,"₩3,000 ",1,1,0,₩0 ,,,off
팝콘,4차,15안,2024.6.17,2024.6.30,트래픽,"₩100,864 ",250,₩403 ,"6,537","7,608",4.30%,₩307 ,"₩13,257 ",1.16,"1,208",80,"₩1,261 ",O,,on
팝콘,4차,16안,2024.6.18,2024.6.30,트래픽,"₩1,421 ",,,156,165,2.42%,₩355 ,"₩8,612 ",1.06,19,0,₩0 ,,,off
팝콘,4차,17안,2024.6.18,2024.6.30,트래픽,"₩8,923 ",17,₩525 ,541,643,3.26%,₩425 ,"₩13,877 ",1.19,17,0,₩0 ,,,off
팝콘,4차,18안,2024.6.18,2024.6.30,트래픽,"₩12,812 ",27,₩475 ,"3,559","4,034",0.69%,₩458 ,"₩3,176 ",1.13,70,1,"₩12,812 ",,,off
팝콘,4차,21안,2024.6.14,2024.6.30,트래픽,"₩58,422 ",109,₩536 ,"3,968","4,802",2.52%,₩483 ,"₩12,166 ",1.21,"1,046",1,"₩58,422 ",O,,off
팝콘,4차,21안,2024.6.21,2024.6.24,트래픽,"₩74,099 ",178,₩416 ,"6,224","7,338",2.64%,₩382 ,"₩10,098 ",1.18,"1,438",1,"₩74,099 ",X,,off
팝콘,4차,15안,2024.6.20,2024.6.30,트래픽,"₩25,827 ",69,₩374 ,"1,779","1,941",4.73%,₩281 ,"₩13,306 ",1.09,309,15,"₩1,722 ",X,,off
팝콘,4차,22안,2024.6.14,2024.6.30,트래픽,₩615 ,1,₩615 ,94,97,2.06%,₩308 ,"₩6,340 ",1.03,1,0,₩0 ,,,on
팝콘,4차,23안,2024.6.14,2024.6.30,트래픽,₩330 ,0,₩0 ,0,116,,,"₩2,844 ",1.05,0,0,₩0 ,,,off
팝콘,4차,24안,2024.6.14,2024.6.30,트래픽,"₩1,125 ",2,₩563 ,157,168,1.19%,₩563 ,"₩6,696 ",1.07,2,1,"₩1,125 ",,,off
팝콘,4차,25안,2024.6.14,2024.6.30,트래픽,"₩17,367 ",27,₩643 ,"1,894","1,992",1.95%,₩445 ,"₩8,718 ",1.05,28,1,"₩17,367 ",,,on
팝콘,4차,26안,2024.6.14,2024.6.30,트래픽,₩256 ,0,₩0 ,75,79,0.00%,₩0 ,"₩3,240 ",1.05,0,0,₩0 ,,,off
팝콘,4차,27안,2024.6.14,2024.6.30,트래픽,"₩84,813 ",206,₩411 ,"9,397","10,903",2.23%,₩349 ,"₩7,778 ",1.16,221,3,"₩28,271 ",,,on
팝콘,4차,28안,2024.6.14,2024.6.30,트래픽,₩151 ,1,₩0 ,75,79,0.00%,₩0 ,"₩3,240 ",1.05,0,0,₩0 ,,,off
팝콘,5차,22안,2024.6.1,2024.6.28,트래픽,₩785 ,1,₩785 ,130,136,1.50%,₩393 ,"₩5,772 ",1.05,1,,,,,on
팝콘,5차,23안,2024.6.1,2024.6.28,트래픽,₩388 ,-,-,138,147,-%,-,"₩2,639 ",1.07,-,,,,,on
팝콘,5차,24안,2024.6.1,2024.6.28,트래픽,"₩1,264 ",2,₩632 ,170,181,1.10%,₩632 ,"₩6,983 ",1.06,2,,,,,on
팝콘,5차,25안,2024.6.1,2024.6.28,트래픽,"₩21,516 ",36,₩598 ,"2,272","2,450",2.08%,₩421 ,"₩8,782 ",1.08,38,,,,,on
팝콘,5차,26안,2024.6.1,2024.6.28,트래픽,₩309 ,,,101,105,,,"₩2,942 ",1.04,,,,,,on
팝콘,5차,28안,2024.6.1,2024.6.28,트래픽,₩180 ,1,₩180 ,28,29,3.45%,₩180 ,"₩6,206 ",1.04,1,,,,,on
팝업스토어가자,4차,10안,2024.6.14,2024.6.17,트래픽,"₩12,019 ",62,₩194 ,"1,675","1,729",4.56%,₩152 ,"₩6,951 ",1.03,644,0,₩0 ,,,off
팝업스토어가자,4차,12안,2024.6.14,2024.6.17,트래픽,₩167 ,2,₩84 ,34,35,5.71%,₩84 ,"₩4,771 ",1.03,10,0,₩0 ,,,off
팝업스토어가자,4차,13안,2024.6.14,2024.6.17,트래픽,"₩25,872 ",112,₩231 ,"3,611","3,886",4.50%,₩148 ,"₩6,658 ",1.08,"1,185",0,₩0 ,,,off
팝업스토어가자,4차,15안,2024.6.17,2024.6.30,트래픽,"₩8,177 ",16,₩511 ,790,902,2.44%,₩372 ,"₩9,065 ",1.14,110,2,"₩4,089 ",O,,off
팝업스토어가자,4차,14안,2024.6.17,2024.6.20,트래픽,"₩17,971 ",52,₩346 ,"2,067","2,411",2.36%,₩315 ,"₩7,454 ",1.17,631,0,₩0 ,,,off
팝업스토어가자,4차,16안,2024.6.18,2024.6.30,트래픽,"₩6,055 ",11,₩550 ,687,757,1.71%,₩466 ,"₩7,999 ",1.1,95,0,₩0 ,,,off
팝업스토어가자,4차,17안,2024.6.18,2024.6.30,트래픽,"₩3,500 ",3,"₩1,167 ",375,459,0.87%,₩875 ,"₩7,625 ",1.22,3,0,₩0 ,,,off
팝업스토어가자,4차,18안,2024.6.18,2024.6.30,트래픽,"₩10,459 ",26,₩402 ,"2,014","2,416",1.24%,₩349 ,"₩4,329 ",1.2,46,0,₩0 ,,,off
팝업스토어가자,4차,19안,2024.6.20,2024.6.30,트래픽,"₩55,378 ",71,₩780 ,"16,426","20,608",0.44%,₩602 ,"₩2,687 ",1.25,77,3,"₩18,459 ",,이벤트,off
팝업스토어가자,4차,20안,2024.6.20,2024.6.30,트래픽,"₩44,622 ",75,₩595 ,"9,350","12,335",0.78%,₩460 ,"₩3,618 ",1.32,78,1,"₩44,622 ",,이벤트,off
팝업스토어가자,4차,21안,2024.6.14,2024.6.30,트래픽,"₩99,896 ",261,₩383 ,"9,024","11,305",2.51%,₩352 ,"₩8,836 ",1.25,"2,230",0,₩0 ,X,,off
팝업스토어가자,4차,21안,2024.6.14,2024.6.30,트래픽,"₩70,872 ",197,₩360 ,"5,548","7,345",2.83%,₩341 ,"₩9,649 ",1.2,"1,345",1,"₩70,872 ",O,,off
팝업스토어가자,4차,25안,2024.6.1,2024.6.28,트래픽,"₩3,864 ",10,₩386 ,583,616,2.27%,₩276 ,"₩6,271 ",1.05,12,0,₩276 ,,,on
팝업스토어가자,4차,27안,2024.6.1,2024.6.28,트래픽,"₩5,740 ",20,₩287 ,962,"1,102",2.09%,₩250 ,"₩5,207 ",1.08,20,0,₩250 ,,,on
